rec_date,code,method,topk,horizon,score,entry_price,exit_price,stop_price,target_price,ret_pct,win,exit_type,b_ratio,MACRO_REGIME_MODE,ACTION_TIER,ROUTE,TOP_PICK_TYPE,fill_status,fill_day
20260331,123330,POSITION_TRACK,0,0,0.0,26750.0,22650.0,22700.0,34400.0,-15.3271,0,STOP_HIT,1.8889,,,,,unknown,0
20260424,003570,POSITION_TRACK,0,0,0.0,58300.0,51100.0,51600.0,70300.0,-12.3499,0,STOP_HIT,1.791,,,,,unknown,0
20260429,018470,POSITION_TRACK,0,0,0.0,1837.0,1552.0,1561.0,2235.0,-15.5144,0,STOP_HIT,1.442,,,,,unknown,0
20260506,001720,POSITION_TRACK,0,0,0.0,212500.0,186500.0,196600.0,272000.0,-12.2353,0,STOP_HIT,3.7421,,,,,unknown,0
20260424,331920,POSITION_TRACK,0,0,0.0,16000.0,13330.0,13600.0,19840.0,-16.6875,0,STOP_HIT,1.6,,,,,unknown,0
20260424,096350,POSITION_TRACK,0,0,0.0,3170.0,2590.0,2700.0,3355.0,-18.2965,0,STOP_HIT,0.3936,,,,,unknown,0
20260506,456160,POSITION_TRACK,0,0,0.0,77800.0,68600.0,71500.0,89300.0,-11.8252,0,STOP_HIT,1.8254,,,,,unknown,0
20260429,033230,POSITION_TRACK,0,0,0.0,2050.0,1738.0,1746.0,2430.0,-15.2195,0,STOP_HIT,1.25,,,,,unknown,0
20260512,080220,POSITION_TRACK,0,0,0.0,55200.0,75600.0,50700.0,62600.0,36.9565,1,TP2_HIT,1.6444,,,,,unknown,0
20260317,054620,POSITION_TRACK,0,0,0.0,7000.0,5830.0,5950.0,9420.0,-16.7143,0,STOP_HIT,2.3048,,,,,unknown,0
20260414,052690,POSITION_TRACK,0,0,0.0,170400.0,146900.0,148700.0,178300.0,-13.7911,0,STOP_HIT,0.3641,,,,,unknown,0
20260422,126730,POSITION_TRACK,0,0,0.0,20050.0,16720.0,17620.0,20800.0,-16.6085,0,STOP_HIT,0.3086,,,,,unknown,0
20260427,017550,POSITION_TRACK,0,0,0.0,3185.0,2835.0,2860.0,3820.0,-10.989,0,STOP_HIT,1.9538,,,,,unknown,0
20260428,089030,POSITION_TRACK,0,0,0.0,60300.0,50400.0,53400.0,62800.0,-16.4179,0,STOP_HIT,0.3623,,,,,unknown,0
20260504,241520,POSITION_TRACK,0,0,0.0,17260.0,13680.0,14670.0,19620.0,-20.7416,0,STOP_HIT,0.9112,,,,,unknown,0
20260507,389020,POSITION_TRACK,0,0,0.0,56400.0,44700.0,47900.0,64900.0,-20.7447,0,STOP_HIT,1.0,,,,,unknown,0
20260511,011690,POSITION_TRACK,0,0,0.0,8240.0,6470.0,7000.0,9900.0,-21.4806,0,STOP_HIT,1.3387,,,,,unknown,0
20260511,298830,POSITION_TRACK,0,0,0.0,8270.0,7170.0,7430.0,8660.0,-13.3011,0,STOP_HIT,0.4643,,,,,unknown,0
20260512,098460,POSITION_TRACK,0,0,0.0,41400.0,36400.0,37550.0,45000.0,-12.0773,0,STOP_HIT,0.9351,,,,,unknown,0
20260513,232680,POSITION_TRACK,0,0,0.0,17400.0,15710.0,15860.0,18750.0,-9.7126,0,STOP_HIT,0.8766,,,,,unknown,0
20260413,011930,POSITION_TRACK,0,0,0.0,3190.0,39950.0,2710.0,4095.0,1152.3511,1,TP2_HIT,1.8854,,,,,unknown,0
20260318,297090,POSITION_TRACK,0,0,0.0,7250.0,6160.0,6160.0,8390.0,-15.0345,0,STOP_HIT,1.0459,,,,,unknown,0
20260324,044490,POSITION_TRACK,0,0,0.0,47900.0,40700.0,40700.0,58800.0,-15.0313,0,STOP_HIT,1.5139,,,,,unknown,0
20260407,412350,POSITION_TRACK,0,0,0.0,7460.0,14080.0,6340.0,11160.0,88.7399,1,TP2_HIT,3.3036,,,,,unknown,0
20260420,171090,POSITION_TRACK,0,0,0.0,99400.0,84100.0,84400.0,104600.0,-15.3924,0,STOP_HIT,0.3467,,,,,unknown,0
20260423,003530,POSITION_TRACK,0,0,0.0,7690.0,6850.0,6900.0,7930.0,-10.9233,0,STOP_HIT,0.3038,,,,,unknown,0
20260506,042510,POSITION_TRACK,0,0,0.0,13370.0,11290.0,11360.0,16960.0,-15.5572,0,STOP_HIT,1.7861,,,,,unknown,0
