시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,REGIME_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,일동홀딩스,000230,의약품 제조업,15800,896.4,1823.4,65.0,87.1,15.89,-24.1118,201.42314,9.34,23.15,20.24,73.63,22.92,50.71,6,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",14040,13060,15520,16990,의약품 제조업,바이오·의약품,1.510204081632653,12.535612535612536,47.1,54.0,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,73.63,22.92,50.71
KOSDAQ,하나기술,299030,특수 목적용 기계 제조업,34800,56.84,2782.2,65.1,86.6,10.96,300.0714,89.6195,1.4,9.09,12.8,33.33,11.97,21.36,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",32300,30050,35700,39100,특수 목적용 기계 제조업,조선·기계·설비,1.511111111111111,7.739938080495357,42.7,38.9,🔼 BRK (돌파),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,33.33,11.97,21.36
KOSDAQ,공구우먼,366030,의복 액세서리 제조업,6100,58.88,1381.9,60.4,70.2,10.49,28.3823,27.78277,3.9,10.71,17.99,41.37,11.97,29.4,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5690,5290,6280,6880,의복 액세서리 제조업,유통·소비재,1.475,7.205623901581721,40.8,42.3,🔼 BRK (돌파),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,41.37,11.97,29.4
KOSPI,한신공영,004960,건물 건설업,11380,304.5,1316.7,68.4,80.5,22.89,183.2133,22.99723,2.96,-6.26,32.79,41.9,22.92,18.98,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",9540,8870,10540,11540,건물 건설업,건설·부동산,1.492537313432836,19.28721174004193,40.7,48.2,↩️ PULL (눌림),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,41.9,22.92,18.98
KOSPI,SK하이닉스,000660,반도체 제조업,565000,23095.03,4113213.4,62.6,57.6,2.21,-408.0356,-208.69604,0.97,4.24,3.86,84.04,22.92,61.12,4,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",565000,525000,612000,664000,반도체 제조업,반도체,1.175,0.0,80.9,78.6,↩️ PULL (눌림),② 상승 후 조정, (매수 유효),2,20251211,20251211,22.92,11.97,84.04,22.92,61.12
KOSPI,삼성SDI,006400,일차전지 및 이차전지 제조업,308000,1443.86,248203.4,62.6,56.2,1.63,-434.0929,-262.25843,1.16,1.82,1.65,55.32,22.92,32.4,4,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",308000,287000,333500,361000,일차전지 및 이차전지 제조업,2차전지,1.2142857142857142,0.0,80.5,76.9,↩️ PULL (눌림),② 상승 후 조정,✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),2,20251211,20251211,22.92,11.97,55.32,22.92,32.4
KOSPI,한국전력,015760,전기업,48800,2241.63,313278.5,52.2,36.0,-2.73,-503.5101,-137.77791,0.93,-3.56,-5.97,29.96,22.92,7.04,3,,"RSI적정, 정배열(단), 장기추세(120↑)",48800,45400,52900,57300,전기업,기타,1.2058823529411764,0.0,77.9,72.6,🔁 MR (반전),② 상승 후 조정,특이사항 없음. 기술적 지표를 참고하세요.,2,20251211,20251211,22.92,11.97,29.96,22.92,7.04
KOSPI,두산,000150,기타 금융업,848000,1026.94,137323.7,48.9,32.9,-4.22,-7350.594,-1973.91768,0.94,-4.61,-4.72,36.12,22.92,13.2,3,,"RSI적정, 정배열(단), 장기추세(120↑)",848000,789000,919000,996000,기타 금융업,금융,1.2033898305084745,0.0,76.5,72.9,🔁 MR (반전),② 상승 후 조정,특이사항 없음. 기술적 지표를 참고하세요.,2,20251211,20251211,22.92,11.97,36.12,22.92,13.2
KOSPI,엘앤에프,066970,일차전지 및 이차전지 제조업,127000,649.37,50368.2,57.3,47.5,1.2,-477.0002,-99.39135,0.92,2.92,0.4,100.63,22.92,77.71,4,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",127000,118100,137700,149200,일차전지 및 이차전지 제조업,2차전지,1.202247191011236,0.0,75.7,78.9,↩️ PULL (눌림),② 상승 후 조정,✅ 20일선 부근의 안전한 눌림목 구간입니다.,2,20251211,20251211,22.92,11.97,100.63,22.92,77.71
KOSPI,대덕전자,353200,전자부품 제조업,48050,736.18,23744.8,51.7,50.5,-2.63,-717.1413,-16.91772,0.93,3.22,-3.9,87.33,22.92,64.41,3,,"RSI적정, 정배열(단), 장기추세(120↑)",48050,44700,52100,56500,전자부품 제조업,IT/전기전자,1.208955223880597,0.0,74.4,76.3,↩️ PULL (눌림),② 상승 후 조정,특이사항 없음. 기술적 지표를 참고하세요.,2,20251211,20251211,22.92,11.97,87.33,22.92,64.41
