종목코드,종목명,시장,종가,시가,저가,고가
001380,SG글로벌,KOSPI,1098,0,0,0
290090,트윔,KOSDAQ,6630,6690,6570,6740
044960,이글벳,KOSDAQ,3900,4060,3880,4060
025880,케이씨피드,KOSDAQ,2945,3050,2925,3060
069410,엔텔스,KOSDAQ,4800,4960,4750,4960
263810,상신전자,KOSDAQ,3075,3120,3020,3120
106240,파인테크닉스,KOSDAQ,2140,2170,1960,2170
032960,동일기연,KOSDAQ,13870,14270,13840,14300
254120,자비스,KOSDAQ,1586,1452,1420,1745
263770,유에스티,KOSDAQ,2055,2100,2045,2110
186230,그린플러스,KOSDAQ,4450,4470,4275,4490
054780,키이스트,KOSDAQ,2470,2620,2420,2635
091590,남화토건,KOSDAQ,4130,4260,4050,4295
000215,DL우,KOSPI,28750,29300,28250,29850
263700,케어랩스,KOSDAQ,2495,2660,2465,2660
178780,일월지엠엘,KOSDAQ,2590,2580,2480,2590
290520,신도기연,KOSDAQ,3030,2670,2555,3050
257990,나우코스,KONEX,8190,8200,8000,8200
481850,신한글로벌액티브리츠,KOSPI,1109,1124,1100,1150
417860,오브젠,KOSDAQ,10250,10620,9980,11070
140520,대창스틸,KOSDAQ,2280,2300,2235,2300
160550,NEW,KOSDAQ,1720,1744,1700,1744
286750,나노실리칸첨단소재,KOSDAQ,1498,1611,1440,1648
002920,유성기업,KOSPI,1849,1894,1847,1898
050860,아세아텍,KOSDAQ,2130,2150,2095,2150
032580,피델릭스,KOSDAQ,1445,1445,1375,1490
464280,티디에스팜,KOSDAQ,8650,8890,8600,8980
082660,코스나인,KOSDAQ,480,0,0,0
019770,서연탑메탈,KOSDAQ,4095,4200,4030,4210
418250,시큐레터,KOSDAQ,6550,0,0,0
081580,성우전자,KOSDAQ,3070,3210,3070,3280
023960,에쓰씨엔지니어링,KOSPI,1251,1315,1241,1318
241840,에이스토리,KOSDAQ,4985,5070,4975,5070
363260,모비데이즈,KOSDAQ,1478,1501,1471,1527
469750,아이비젼웍스,KOSDAQ,1378,1164,1164,1496
003535,한화투자증권우,KOSPI,9880,10000,9650,10290
290120,DH오토리드,KOSDAQ,2995,3115,2925,3115
420570,제이투케이바이오,KOSDAQ,8080,8570,7990,8570
271830,팸텍,KOSDAQ,1601,1631,1599,1659
450520,인스웨이브,KOSDAQ,3200,3105,3065,4060
215380,우정바이오,KOSDAQ,2795,3020,2780,3020
129890,앱코,KOSDAQ,1032,1072,1031,1090
023440,제이스코홀딩스,KOSDAQ,521,0,0,0
049120,파인디앤씨,KOSDAQ,4420,4000,3290,4420
206400,베노티앤알,KOSDAQ,1249,1279,1224,1290
101240,씨큐브,KOSDAQ,4110,4155,4075,4175
200780,비씨월드제약,KOSDAQ,4370,4400,4300,4430
073540,에프알텍,KOSDAQ,4070,4160,3900,4215
069460,대호에이엘,KOSPI,532,0,0,0
065650,하이퍼코퍼레이션,KOSDAQ,2110,0,0,0
258610,케일럼,KOSDAQ,1265,1360,1255,1360
224110,에이텍모빌리티,KOSDAQ,9080,9180,9000,9240
052600,한네트,KOSDAQ,3985,4040,3920,4065
153490,우리이앤엘하루틴,KOSDAQ,894,913,872,915
356890,싸이버원,KOSDAQ,3840,3765,3720,3990
037370,EG,KOSDAQ,5300,5460,5250,5470
049830,승일,KOSDAQ,7450,7460,7420,7530
256150,한독크린텍,KOSDAQ,5440,5420,5350,5440
475460,미트박스,KOSDAQ,8120,8340,8060,8350
032790,엠젠솔루션,KOSDAQ,887,0,0,0
066910,손오공,KOSDAQ,680,0,0,0
351870,차이커뮤니케이션,KOSDAQ,4075,4155,4035,4185
011230,삼화전자,KOSPI,2365,2435,2360,2445
318020,포인트모바일,KOSDAQ,3680,3790,3665,3790
022220,티케이지애강,KOSDAQ,874,894,850,894
080530,코디,KOSDAQ,815,0,0,0
011300,우성머티리얼스,KOSPI,2850,3090,2780,3090
057030,YBM넷,KOSDAQ,2765,2885,2750,2885
005030,부산주공,KOSPI,486,0,0,0
200580,메디쎄이,KONEX,12100,12000,12000,12120
317240,TS트릴리온,KOSDAQ,309,0,0,0
373170,엠아이큐브솔루션,KOSDAQ,2980,3115,2925,3185
131760,파인텍,KOSDAQ,1036,0,0,0
239610,에이치엘사이언스,KOSDAQ,8340,8850,8310,8860
020180,대신정보통신,KOSDAQ,1169,1202,1166,1212
008870,금비,KOSPI,44900,45300,44800,45500
123570,이엠넷,KOSDAQ,2015,2030,1998,2030
383930,디티앤씨알오,KOSDAQ,3510,3555,3340,3620
270520,앱튼,KOSDAQ,228,0,0,0
074610,이엔플러스,KOSPI,5110,0,0,0
083550,케이엠,KOSDAQ,3300,3420,3225,3500
220180,핸디소프트,KOSDAQ,1867,1924,1852,1960
006050,국영지앤엠,KOSDAQ,1277,1319,1260,1323
000760,이화산업,KOSPI,15910,16480,15650,16490
33637K,솔루스첨단소재1우,KOSPI,2630,2655,2595,2695
014570,고려제약,KOSDAQ,4035,4125,3990,4140
204020,그리티,KOSDAQ,2275,2340,2250,2345
148250,알엔투테크놀로지,KOSDAQ,3485,3700,3400,3700
203450,유니온바이오메트릭스,KOSDAQ,3140,3175,3090,3215
288330,파라택시스코리아,KOSDAQ,416,0,0,0
363250,진시스템,KOSDAQ,5180,5210,4815,5550
002880,디와이에이,KOSPI,940,979,938,979
195500,마니커에프앤지,KOSDAQ,2750,2820,2745,2850
308170,씨티알모빌리티,KOSPI,5100,5200,5010,5330
025440,DH오토웨어,KOSDAQ,900,920,890,977
340810,시선AI,KOSDAQ,3210,3230,3200,3390
024120,KB오토시스,KOSDAQ,3800,3925,3775,3940
208860,다산디엠씨,KOSDAQ,1277,1301,1264,1305
075970,동국알앤에스,KOSDAQ,2345,2380,2315,2390
258790,소프트캠프,KOSDAQ,1718,0,0,0
200230,텔콘RF제약,KOSDAQ,600,627,597,630
455180,케이지에이,KOSDAQ,3070,3060,3000,3085
133750,메가엠디,KOSDAQ,1830,1864,1824,1910
046390,삼화네트웍스,KOSDAQ,991,0,0,0
359090,씨엔알리서치,KOSDAQ,744,773,730,778
145270,케이탑리츠,KOSPI,889,900,886,901
051630,진양화학,KOSPI,2015,2145,1985,2155
068050,팬엔터테인먼트,KOSDAQ,1541,1570,1527,1570
387570,파인메딕스,KOSDAQ,7580,7700,7410,8000
084870,TBH글로벌,KOSPI,2040,2125,2005,2125
122830,원포유,KONEX,1297,1290,1245,1450
900300,오가닉티코스메틱,KOSDAQ,169,205,167,210
008250,이건산업,KOSPI,3870,3995,3865,3995
277410,인산가,KOSDAQ,1100,1105,1082,1110
221980,케이디켐,KOSDAQ,10430,10450,10300,10460
237750,피앤씨테크,KOSDAQ,6450,6810,6190,6810
159910,에코글로우,KOSDAQ,800,0,0,0
288980,모아데이타,KOSDAQ,1150,1245,1115,1310
007720,소노스퀘어,KOSDAQ,415,422,405,422
025750,한솔홈데코,KOSPI,2595,2650,2570,2650
043200,파루,KOSDAQ,1000,1061,993,1061
114630,폴라리스우노,KOSDAQ,2370,2390,2340,2400
045060,오공,KOSDAQ,2455,2485,2450,2555
024070,WISCOM,KOSPI,2710,2845,2565,2995
064520,테크엘,KOSDAQ,1858,1845,1807,1870
019490,엑시큐어하이트론,KOSPI,541,0,0,0
075130,플랜티넷,KOSDAQ,2485,2495,2435,2500
131100,티엔엔터테인먼트,KOSDAQ,1279,1294,1258,1300
228340,동양파일,KOSDAQ,2060,2260,2035,2280
462510,라메디텍,KOSDAQ,4680,4815,4645,4895
038870,에코심플렉스,KOSDAQ,2935,3055,2935,3085
058110,멕아이씨에스,KOSDAQ,2555,2900,2525,2900
298060,풍전약품,KOSDAQ,927,0,0,0
257370,피엔티엠에스,KOSDAQ,3260,3170,3150,3340
440320,오픈놀,KOSDAQ,4120,4285,4110,4305
017040,광명전기,KOSPI,932,0,0,0
013810,스페코,KOSDAQ,2750,2955,2745,2955
012620,원일특강,KOSDAQ,9150,9680,9140,9680
005320,온타이드,KOSPI,588,0,0,0
140430,카티스,KOSDAQ,752,0,0,0
066900,디에이피,KOSDAQ,1767,1733,1720,1795
039290,인포뱅크,KOSDAQ,4620,4895,4605,4895
406820,뷰티스킨,KOSDAQ,2840,3145,2840,3210
318410,비비씨,KOSDAQ,7220,7630,7220,7630
475660,에스켐,KOSDAQ,5050,5210,5020,5260
038880,아이에이,KOSDAQ,1064,1020,997,1105
065950,웰크론,KOSDAQ,1414,1570,1394,1570
351320,넥사다이내믹스,KOSDAQ,1344,1312,1200,1366
452980,신한제11호스팩,KOSDAQ,2110,2110,2110,2110
014910,성문전자,KOSPI,1821,1914,1821,1925
002360,SH에너지화학,KOSPI,358,0,0,0
33626L,두산퓨얼셀2우B,KOSPI,13320,11320,11280,14270
064090,인크레더블버즈,KOSDAQ,798,0,0,0
290270,휴네시온,KOSDAQ,4130,4175,3950,4225
013720,THE CUBE&,KOSDAQ,650,683,639,697
005820,원림,KOSPI,17200,17550,17100,17550
010640,진양폴리,KOSPI,2365,2400,2305,2400
109820,진매트릭스,KOSDAQ,1933,1992,1905,1998
462980,아이지넷,KOSDAQ,2160,2250,2145,2255
065370,위세아이텍,KOSDAQ,5320,5310,5180,5500
318000,KBG,KOSDAQ,4490,4565,4480,4600
464580,닷밀,KOSDAQ,2130,2235,2120,2245
086060,진바이오텍,KOSDAQ,4540,4710,4455,4715
035200,프럼파스트,KOSDAQ,4015,4130,4000,4150
398120,에스지헬스케어,KOSDAQ,3305,3470,3250,3470
238490,힘스,KOSDAQ,3450,3495,3325,3495
187270,신화콘텍,KOSDAQ,3845,3940,3800,4070
270870,뉴트리,KOSDAQ,4235,4300,4230,4305
004365,세방우,KOSPI,10550,10240,10240,10660
016670,디모아,KOSDAQ,3815,3880,3760,3885
376980,원티드랩,KOSDAQ,3980,4165,3900,4165
050120,ES큐브,KOSDAQ,2845,2940,2825,2940
134790,시디즈,KOSPI,19280,19340,19280,19500
353590,오토앤,KOSDAQ,2990,2955,2955,3170
239340,이스트에이드,KOSDAQ,1426,1436,1424,1476
169330,엠브레인,KOSDAQ,2100,2180,2100,2190
296640,이노에이엑스,KOSDAQ,7390,7650,7320,7680
290560,파라택시스이더리움,KOSDAQ,1705,1770,1684,1770
059100,아이컴포넌트,KOSDAQ,5390,5560,5370,5560
056730,CNT85,KOSDAQ,514,0,0,0
038620,위즈코프,KOSDAQ,503,0,0,0
263920,휴엠앤씨,KOSDAQ,3880,3850,3850,3995
148780,비큐AI,KOSDAQ,1200,1245,1200,1245
090150,아이윈,KOSDAQ,900,949,891,949
019175,신풍제약우,KOSPI,18900,18960,18900,18960
262840,아이퀘스트,KOSDAQ,1780,0,0,0
021650,한국큐빅,KOSDAQ,2300,2345,2300,2345
002870,신풍,KOSPI,1075,1115,1055,1115
112190,KC산업,KONEX,1380,1396,1250,1396
006200,한국전자홀딩스,KOSPI,801,0,0,0
094860,네오리진,KOSDAQ,1491,1490,1450,1512
317120,라닉스,KOSDAQ,2450,2520,2350,2560
024890,대원화성,KOSPI,906,0,0,0
900340,윙입푸드,KOSDAQ,742,0,0,0
