종목코드,종목명,시장,종가,시가,저가,고가
204320,HL만도,KOSPI,48400,47150,45750,50500
279570,케이뱅크,KOSPI,5600,5540,5460,5770
281820,케이씨텍,KOSPI,113100,111500,107300,123200
420770,기가비스,KOSDAQ,175900,184000,166800,190500
007340,DN오토모티브,KOSPI,37850,37800,36050,38600
004370,농심,KOSPI,358500,341500,339000,370000
030000,제일기획,KOSPI,18720,18290,18100,19630
071970,HD현대마린엔진,KOSPI,64700,68900,62700,69600
008930,한미사이언스,KOSPI,31250,30650,29750,32500
007070,GS리테일,KOSPI,25050,24050,22950,25700
282330,BGF리테일,KOSPI,121400,115600,112800,123700
020150,롯데에너지머티리얼즈,KOSPI,39650,42600,39200,43850
051600,한전KPS,KOSPI,45150,45800,44650,46650
098460,고영,KOSDAQ,29650,32450,29550,32700
457190,이수스페셜티케미컬,KOSPI,66600,70600,66100,70800
462870,시프트업,KOSPI,34150,34300,33900,36250
018670,SK가스,KOSPI,216000,212000,208000,231500
009155,삼성전기우,KOSPI,685000,740000,680000,752000
008770,호텔신라,KOSPI,50400,46900,45550,53300
035900,JYP Ent.,KOSDAQ GLOBAL,55500,52300,52300,57600
439260,대한조선,KOSPI,51300,53800,51000,53800
000155,두산우,KOSPI,488500,508000,485000,518000
131970,두산테스나,KOSDAQ GLOBAL,101000,108000,99700,108000
032820,우리기술,KOSDAQ,11250,12100,11140,12100
007810,코리아써키트,KOSPI,79200,85400,78500,85400
001740,SK네트웍스,KOSPI,9560,10070,9470,10350
192820,코스맥스,KOSPI,171900,166500,164300,178900
010170,대한광통신,KOSDAQ,11960,13300,11800,13320
140860,파크시스템스,KOSDAQ GLOBAL,265500,253000,252500,274500
00680K,미래에셋증권2우B,KOSPI,13620,14640,13580,14650
002790,아모레퍼시픽홀딩스,KOSPI,24400,23000,22950,25350
112610,씨에스윈드,KOSPI,43750,44300,42450,46150
140410,메지온,KOSDAQ,60700,61100,59000,65200
103140,풍산,KOSPI,65300,65200,63300,67200
068760,셀트리온제약,KOSDAQ,41100,40350,40050,42800
120110,코오롱인더,KOSPI,59900,62400,57900,63100
041510,에스엠,KOSDAQ GLOBAL,78600,73100,72800,81600
475150,SK이터닉스,KOSPI,52700,56300,52000,61900
089030,테크윙,KOSDAQ,47450,55000,47150,55400
011210,현대위아,KOSPI,64300,63500,61000,65800
000120,CJ대한통운,KOSPI,75900,75400,73200,78400
097230,HJ중공업,KOSPI,19060,20500,18650,20500
083650,비에이치아이,KOSDAQ,55500,59100,55200,60500
229640,LS에코에너지,KOSPI,56200,59000,54700,60500
395400,SK리츠,KOSPI,5650,5560,5440,5650
082920,비츠로셀,KOSDAQ GLOBAL,36850,40300,36750,41100
0009K0,에임드바이오,KOSDAQ,25650,26800,25400,27350
058610,에스피지,KOSDAQ,74500,79000,73200,79000
093370,후성,KOSPI,15270,16380,15170,17160
183300,코미코,KOSDAQ,78600,87400,78200,87400
001800,오리온홀딩스,KOSPI,25650,25150,24950,26400
043260,성호전자,KOSDAQ,21900,29250,21450,29450
020560,아시아나항공,KOSPI,7470,7300,7130,7790
023590,다우기술,KOSPI,35450,36050,35150,37200
096530,씨젠,KOSDAQ GLOBAL,28950,28200,27850,29500
322000,HD현대에너지솔루션,KOSPI,134100,149100,134100,162300
218410,RFHIC,KOSDAQ,55200,62600,55100,62600
060370,LS마린솔루션,KOSDAQ,27900,28450,27500,29850
006040,동원산업,KOSPI,33050,33100,31550,34200
458870,씨어스,KOSDAQ,39850,39700,37600,40100
001120,LX인터내셔널,KOSPI,37300,37800,36700,38250
069620,대웅제약,KOSPI,125400,120800,117600,129700
030530,원익홀딩스,KOSDAQ,18540,19780,18420,19900
006280,녹십자,KOSPI,121900,124400,120000,125500
007390,네이처셀,KOSDAQ,21850,22650,21400,22700
192080,더블유게임즈,KOSPI,65300,65700,64000,67400
078600,대주전자재료,KOSDAQ,87900,94600,87400,95400
017960,한국카본,KOSPI,26300,27700,26100,27700
073240,금호타이어,KOSPI,4680,4865,4630,4910
034230,파라다이스,KOSPI,13700,14500,14250,15600
039200,오스코텍,KOSDAQ,34750,36100,34550,36700
003540,대신증권,KOSPI,27150,27350,26900,27950
361610,SK아이이테크놀로지,KOSPI,16030,16100,15590,16670
007310,오뚜기,KOSPI,319000,307500,304000,334500
012630,HDC,KOSPI,21300,21150,20850,21850
005070,코스모신소재,KOSPI,38500,39200,38100,39900
001820,삼화콘덴서,KOSPI,122200,146500,121300,146800
347700,스피어,KOSDAQ,24400,27000,23700,28750
127120,제이에스링크,KOSDAQ,36150,37300,34000,37600
415640,KB발해인프라,KOSPI,10110,9960,9960,10120
298020,효성티앤씨,KOSPI,280500,290000,273500,293500
294870,IPARK현대산업개발,KOSPI,18510,18640,18420,19290
032350,롯데관광개발,KOSPI,15410,15510,15010,16650
000815,삼성화재우,KOSPI,398500,408500,396000,413000
066575,LG전자우,KOSPI,68800,67500,67000,71300
004000,롯데정밀화학,KOSPI,45450,45950,44000,46200
195940,HK이노엔,KOSDAQ GLOBAL,41200,41000,40300,42450
082640,동양생명,KOSPI,7450,7000,7000,7540
003570,SNT다이내믹스,KOSPI,34900,34750,34300,36300
323280,태성,KOSDAQ,37800,41300,37700,41300
475830,오름테라퓨틱,KOSDAQ,52700,57200,51600,57500
181710,NHN,KOSPI,35150,35350,34600,36100
001430,세아베스틸지주,KOSPI,31700,33500,31350,33500
077970,STX엔진,KOSPI,28400,31450,28100,31450
003380,하림지주,KOSDAQ GLOBAL,9990,9860,9670,10160
437730,삼현,KOSDAQ,35100,35450,32800,36050
166090,하나머티리얼즈,KOSDAQ,56000,62500,55800,63100
030610,교보증권,KOSPI,9750,9860,9600,10110
089860,롯데렌탈,KOSPI,30400,30950,30400,31950
031330,에스에이엠티,KOSDAQ,10620,11410,10390,11450
000080,하이트진로,KOSPI,15120,14500,14340,15330
195870,해성디에스,KOSPI,61100,66800,61000,67800
057050,현대홈쇼핑,KOSPI,87300,0,0,0
496320,본시스템즈,KONEX,1023000,0,0,0
101490,에스앤에스텍,KOSDAQ GLOBAL,48700,53200,48500,53200
330590,롯데리츠,KOSPI,3575,3600,3455,3640
300720,한일시멘트,KOSPI,13990,14050,13910,14390
051915,LG화학우,KOSPI,133800,136200,131700,138800
003090,대웅,KOSPI,17690,17020,17020,18200
003530,한화투자증권,KOSPI,4720,4850,4700,4935
085660,차바이오텍,KOSDAQ,10650,10760,10380,10870
417200,LS머트리얼즈,KOSDAQ,14480,15600,14260,15610
100090,SK오션플랜트,KOSPI,15590,15750,15100,16650
003240,태광산업,KOSPI,863000,856000,810000,886000
000210,DL,KOSPI,45500,45700,43700,47450
232140,와이씨,KOSDAQ,11550,13010,11500,13020
185750,종근당,KOSPI,68500,67700,65700,69200
005300,롯데칠성,KOSPI,101500,100700,98200,104800
006340,대원전선,KOSPI,11990,12710,11750,14950
280360,롯데웰푸드,KOSPI,101500,97500,95200,103800
100790,미래에셋벤처투자,KOSDAQ,17550,19170,17530,19170
086450,동국제약,KOSDAQ GLOBAL,20450,19990,19850,20850
009450,경동나비엔,KOSPI,63100,63000,61000,66000
204270,제이앤티씨,KOSDAQ,15790,17120,15660,17670
099320,쎄트렉아이,KOSDAQ,83100,91000,83000,91000
