LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
260,004170,신세계,KOSPI,유통·소비재,407500,295.69,38489.1,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,63.0,63.0,83.9,62.1,23.2,0.0,50.0,56.4,60.7,24.1,0.93,0.0,진입적정,0,407500.0,364000.0,448000.0,488000.0,,0.37,1.26,345789,57.92,특이사항 없음,0,13.48,84.4,14.66,STRUCT 강점,TIMING 보조,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,종합 소매업,29568733000.0,81.8,38.06,0,0,1.37,6.68,17.6,35.61,36.97,134.6,25.62,6.69,80.09,0.013,0.013,1,11.3,1,0,1.01,0.73,548000.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,v1_sl_first_gap_at_open,10.67,5.0,0.9,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,1,1,350300.0,17.85,0.0111,False,O,▲,405504,▲,O,X,0,0,0,-1.62,250,0,1,1,1,0.0,종합 소매업,8.645,9.898333333333333,12.0,23.2,OK,60.0,60.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,63.0,63.0,63.0,30.28,30.28,FRESH,0.62,,False,0.424,True,MATURE,4069.0,0.931,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,9.9,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
261,086790,하나금융지주,KOSPI,금융,127000,1305.64,348447.0,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,66.6,66.6,96.7,65.0,9.5,0.0,48.5,57.1,87.2,0.0,1.83,0.0,RR1.8 + 진입적정,0,127000.0,118300.0,142900.0,154600.0,,0.1,1.34,116358,38.63,특이사항 없음,0,8.34,76.8,6.79,STRUCT 강점,TIMING 보조,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,기타 금융업,130563778950.0,85.3,17.13,0,0,2.42,3.25,5.13,19.14,23.66,48.54,9.15,-6.62,-5.97,0.062,0.062,1,6.0,1,0,1.13,0.96,,FIBO_1.272,40,FIBO_1.618,25,,0,v1_sl_first_gap_at_open,6.85,4.0,1.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,115080.0,9.15,-0.0185,False,O,▲,124508,▲,O,X,29718,-5207,24511,0.65,250,0,1,1,1,0.0,기타 금융업,8.51875,22.95075,8.0,9.5,OK,67.0,67.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,66.6,66.6,66.6,30.28,30.28,FRESH,0.62,,False,0.453,False,MATURE,4069.0,1.828,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,12.5,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
262,051600,한전KPS,KOSPI,기타,63900,101.96,28755.0,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,65.9,65.9,100.0,58.8,11.7,0.0,47.5,56.8,88.3,0.0,2.71,0.0,RR2.7 + 진입적정,0,63900.0,60100.0,74200.0,80700.0,,0.58,0.85,59960,10.04,특이사항 없음,0,6.93,84.4,7.8,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,전기 및 통신 공사업,10195890700.0,76.0,18.05,0,0,-0.93,6.15,9.42,15.14,10.55,26.04,5.15,-19.73,-28.47,0.018,0.018,1,6.0,1,1,1.6,0.89,,FIBO_1.272,40,FIBO_1.618,25,,0,v1_sl_first_gap_at_open,5.95,5.0,2.7,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,1,1,59220.0,6.57,0.1361,False,O,▲,63312,▲,O,X,0,0,0,-0.47,250,0,1,1,1,0.0,전기 및 통신 공사업,7.818846153846153,14.542115384615384,10.0,11.7,OK,53.578724814540095,53.578724814540095,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,65.9,65.9,65.9,30.28,30.28,FRESH,0.62,,False,0.447,True,MATURE,4069.0,2.711,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,16.1,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
263,033500,동성화인텍,KOSDAQ,화학·소재,29750,74.46,8921.9,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,58.7,58.7,87.8,52.7,12.7,0.0,43.2,51.1,75.1,6.1,2.0,0.0,RR2.0 + 진입적정,0,29750.0,27050.0,35150.0,37850.0,,1.0,1.04,27040,17.73,특이사항 없음,0,10.97,82.5,10.79,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,기초 화학물질 제조업,7445916350.0,82.7,27.45,0,0,-1.82,5.68,12.26,28.51,2.94,3.66,18.52,-27.34,-50.85,0.107,0.107,1,7.7,1,0,1.23,0.88,,RR_FALLBACK,50,RR_FALLBACK,35,,0,v1_sl_first_gap_at_open,9.08,5.0,2.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,1,1,26425.0,10.02,0.0393,False,O,▲,29692,▲,O,X,0,0,0,-0.99,237,0,1,-1,1,0.0,기초 화학물질 제조업,8.020196078431372,19.193137254901963,9.0,12.7,OK,57.59109075209366,57.59109075209366,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,58.7,58.7,58.7,30.28,30.28,FRESH,0.62,,False,0.39,True,MATURE,4069.0,2.0,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,18.2,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
264,036460,한국가스공사,KOSPI,기타,39050,128.65,36048.2,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,54.1,54.1,72.8,57.6,9.8,0.0,42.3,46.7,63.0,21.2,3.8,0.0,RR3.8 + 진입적정,0,39050.0,37300.0,45700.0,48000.0,,1.8,1.45,39068,-4.86,특이사항 없음,0,5.26,76.9,7.14,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,연료용 가스 제조 및 배관공급업,12865018700.0,77.4,13.38,0,0,1.96,5.4,8.02,11.73,-2.13,-6.35,1.74,-32.41,-60.86,0.596,0.301,0,6.0,1,1,1.22,0.98,,SWING_60D,60,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,4.48,5.0,3.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,36300.0,-0.05,0.0823,False,O,▼,38020,▲,O,X,0,0,0,-0.52,250,0,-1,-1,1,0.0,연료용 가스 제조 및 배관공급업,7.818846153846153,14.542115384615384,10.0,9.8,OK,83.31671197925667,83.31671197925667,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,54.1,54.1,54.1,30.28,30.28,FRESH,0.62,,False,0.353,True,MATURE,4069.0,3.8,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,17.0,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
265,139480,이마트,KOSPI,유통·소비재,106800,165.6,29472.3,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,53.9,53.9,93.3,34.8,13.2,0.0,37.6,47.1,80.1,0.0,4.23,0.0,RR4.2 + 진입적정,0,106800.0,99800.0,136400.0,149900.0,,0.93,0.86,106309,30.56,특이사항 없음,0,8.11,79.6,8.72,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,종합 소매업,16559623700.0,80.8,22.93,0,0,0.66,5.01,9.43,11.6,20.54,47.92,1.61,-9.74,-6.59,0.197,0.17,1,6.0,1,0,1.08,0.9,167000.0,SWING_60D,60,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,6.55,5.0,4.2,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,96730.0,0.46,0.0086,False,O,▲,106566,▲,O,X,0,0,0,-0.75,250,0,1,1,1,0.0,종합 소매업,8.645,9.898333333333333,12.0,13.2,OK,44.73710039304464,44.73710039304464,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,53.9,53.9,53.9,30.28,30.28,FRESH,0.62,,False,0.351,True,MATURE,4069.0,4.229,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,27.7,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
266,123690,한국화장품,KOSPI,기타,9040,94.04,1452.5,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,45.9,45.9,74.6,28.2,23.8,0.0,35.8,42.2,50.8,36.5,1.42,0.0,RR1.4 + 진입적정,0,9040.0,8300.0,10090.0,11390.0,,0.25,3.07,9492,-20.57,특이사항 없음,0,8.39,78.5,8.94,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,생활용품 도매업,9403795455.0,91.5,18.23,0,0,1.12,8.13,9.18,15.01,-13.58,-25.96,5.02,-43.86,-80.47,0.927,0.133,0,8.3,1,1,2.43,0.57,12910.0,SWING_20D,80,VP_RESISTANCE,65,SWING_120D,45,v1_sl_first_gap_at_open,8.19,6.0,1.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,8407.0,-4.77,0.1338,False,X,▼,8777,▲,O,X,0,0,0,0.0,250,0,-1,-1,1,0.0,생활용품 도매업,7.818846153846153,14.542115384615384,10.0,23.8,OK,52.3586165733188,52.3586165733188,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,45.9,45.9,45.9,30.28,30.28,FRESH,0.62,,False,0.3,True,MATURE,4069.0,1.419,0.878,0.878,0.0,0.0,0.0,v22_calibrated,,,,,,True,11.6,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
267,005935,삼성전자우,KOSPI,IT/전기전자,160000,7403.46,1283793.9,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,56.3,56.3,55.8,65.6,38.5,0.0,15.6,53.3,27.1,66.1,0.46,0.0,진입적정,0,160000.0,147200.0,165900.0,199100.0,,1.05,1.35,132642,36.66,특이사항 없음,0,22.1,76.6,12.42,TIMING 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,전기전자,740345601886.0,77.2,33.12,0,0,-0.06,6.38,13.15,40.35,35.71,89.57,30.36,5.43,35.06,0.01,0.01,1,6.4,1,0,0.73,0.92,,BB_UPPER,75,FIBO_1.618,25,,0,v1_sl_first_gap_at_open,8.0,4.0,0.5,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,144310.0,20.63,0.0101,False,O,▲,158508,▲,O,X,0,0,0,0.06,250,0,1,1,1,0.0,전기전자,2.8081111111111112,29.43988888888889,7.0,38.5,OK,63.0,63.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,56.3,56.3,56.3,30.28,30.28,FRESH,0.62,,False,0.37,True,MATURE,4069.0,0.461,0.878,0.461,0.0,0.0,0.0,v22_calibrated,,,,,,True,3.7,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
268,003470,유안타증권,KOSPI,서비스 기타,5540,123.44,11057.7,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,64.7,64.7,88.7,62.5,21.2,0.0,15.0,57.5,67.5,15.6,0.51,0.0,진입적정,0,5540.0,5110.0,5760.0,6370.0,,1.53,3.75,5100,9.8,특이사항 없음,0,11.93,76.5,12.62,STRUCT 강점,TIMING 보조,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,금융 지원 서비스업,12343734480.0,80.1,23.36,0,0,2.21,9.7,12.37,25.34,34.14,43.34,15.35,3.86,-11.17,0.058,0.058,1,6.7,1,0,1.1,0.84,7010.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,7.76,5.0,0.5,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,4944.5,8.61,0.1523,False,O,▲,5281,▲,O,X,0,0,0,0.0,250,0,1,1,1,0.0,금융 지원 서비스업,7.153870967741935,13.568709677419355,11.0,21.2,OK,61.01503161132807,61.01503161132807,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,64.7,64.7,64.7,30.28,30.28,FRESH,0.62,,False,0.438,True,MATURE,4069.0,0.512,0.878,0.512,0.0,0.0,0.0,v22_calibrated,,,,,,True,4.0,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
269,017960,한국카본,KOSPI,기타,51800,377.1,27080.3,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,61.4,61.4,88.6,51.4,27.1,0.0,14.3,55.7,61.5,23.1,0.53,0.0,진입적정,0,51800.0,47500.0,54100.0,56500.0,,-0.61,1.05,43385,19.19,특이사항 없음,0,25.32,75.3,7.51,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,"구조용 금속제품, 탱크 및 증기발생기 제조업",37710295650.0,54.0,34.16,0,0,0.39,1.77,3.6,33.33,48.64,41.53,23.34,18.36,-12.98,0.009,0.009,1,11.8,1,0,1.15,0.85,62500.0,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,v1_sl_first_gap_at_open,8.3,5.0,0.5,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,44530.0,19.39,-0.2054,False,O,▲,53029,▼,X,X,0,0,0,0.19,250,0,1,1,1,0.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",7.818846153846153,14.542115384615384,10.0,27.1,OK,50.20005497323493,50.20005497323493,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,61.4,61.4,61.4,30.28,30.28,FRESH,0.62,,False,0.411,True,MATURE,4069.0,0.535,0.878,0.535,0.0,0.0,0.0,v22_calibrated,,,,,,True,4.4,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
270,161890,한국콜마,KOSPI,화학·소재,89900,207.92,21221.0,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,61.7,61.7,97.6,46.9,19.7,0.0,13.4,54.7,77.9,2.6,0.49,0.0,진입적정,0,89900.0,82800.0,93400.0,101500.0,,-0.39,1.02,75918,39.46,특이사항 없음,0,8.11,80.2,8.83,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,기타 화학제품 제조업,20791719600.0,87.7,26.99,0,0,-1.21,4.17,12.38,18.29,32.01,16.75,8.3,1.73,-37.76,0.028,0.028,1,7.3,1,0,1.53,0.82,111600.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,v1_sl_first_gap_at_open,7.9,5.0,0.5,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,1,1,82560.0,18.42,0.0018,False,O,▲,91275,▲,X,X,0,0,0,-0.55,250,0,1,1,1,0.0,기타 화학제품 제조업,8.020196078431372,19.193137254901963,9.0,19.7,OK,46.842595443706735,46.842595443706735,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,61.7,61.7,61.7,30.28,30.28,FRESH,0.62,,False,0.414,True,MATURE,4069.0,0.493,0.878,0.493,0.0,0.0,0.0,v22_calibrated,,,,,,True,3.9,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
271,241710,코스메카코리아,KOSDAQ,화학·소재,85300,80.3,9110.0,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,61.0,61.0,99.3,46.3,13.8,0.0,13.0,53.1,85.5,0.0,0.78,0.0,진입적정,0,85300.0,79500.0,89800.0,106400.0,,-0.91,1.25,85151,18.19,특이사항 없음,0,17.14,76.7,4.4,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,기타 화학제품 제조업,8030084550.0,85.6,21.75,0,0,-1.73,0.47,3.02,7.03,-1.5,29.05,-2.96,-31.78,-25.46,0.235,0.125,1,7.6,1,0,1.42,0.77,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,6.8,5.0,0.8,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,79470.0,0.17,-0.104,True,O,▲,87383,▲,X,X,0,0,0,0.35,250,0,1,1,1,0.0,기타 화학제품 제조업,8.020196078431372,19.193137254901963,9.0,13.8,OK,55.21408523830817,55.21408523830817,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,61.0,61.0,61.0,30.28,30.28,FRESH,0.62,,False,0.408,True,MATURE,4069.0,0.776,0.878,0.776,0.0,0.0,0.0,v22_calibrated,,,,,,True,5.3,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
272,009540,HD한국조선해양,KOSPI,금융,468500,914.95,331572.0,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,56.9,56.9,82.5,51.7,16.2,0.0,13.0,50.1,66.3,17.1,0.48,0.0,진입적정,0,468500.0,432000.0,486000.0,576000.0,,1.71,0.86,411162,10.36,특이사항 없음,0,15.25,80.9,13.96,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,기타 금융업,91495240250.0,88.1,37.95,0,0,-2.19,9.59,18.16,36.19,10.89,-1.16,26.2,-19.39,-55.67,0.018,0.018,1,6.6,1,0,1.07,0.87,,SWING_20D,80,FIBO_1.618,25,,0,v1_sl_first_gap_at_open,7.79,4.0,0.5,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,1,1,428650.0,13.95,0.0525,False,O,▲,472202,▲,X,X,0,0,0,-1.77,250,0,1,-1,1,0.0,기타 금융업,8.51875,22.95075,8.0,16.2,OK,47.19993476989903,47.19993476989903,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,56.9,56.9,56.9,30.28,30.28,FRESH,0.62,,False,0.375,True,MATURE,4069.0,0.479,0.878,0.479,0.0,0.0,0.0,v22_calibrated,,,,,,True,3.7,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
273,001040,CJ,KOSPI,금융,222000,229.32,64772.9,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,59.2,59.2,90.8,52.5,9.3,0.0,12.8,50.9,81.5,0.0,0.36,0.0,진입적정,0,222000.0,202500.0,229000.0,253000.0,,0.89,0.93,203488,18.78,특이사항 없음,0,7.62,75.3,8.55,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,기타 금융업,22931573000.0,66.0,22.48,0,0,1.14,5.21,12.63,17.46,11.95,30.05,7.47,-18.33,-24.46,0.04,0.04,1,7.9,1,0,1.05,0.85,,SWING_20D,80,ATR_3.5x,45,,0,v1_sl_first_gap_at_open,8.78,4.0,0.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,195870.0,9.1,0.0278,False,O,▲,219910,▲,O,X,0,0,0,-1.37,250,0,1,1,1,0.0,기타 금융업,8.51875,22.95075,8.0,9.3,OK,52.272555147677565,52.272555147677565,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,59.2,59.2,59.2,30.28,30.28,FRESH,0.62,,False,0.394,True,MATURE,4069.0,0.359,0.878,0.359,0.0,0.0,0.0,v22_calibrated,,,,,,True,3.2,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
274,192820,코스맥스,KOSPI,화학·소재,221000,110.65,25082.4,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,55.0,55.0,95.7,27.3,29.2,0.0,12.0,50.7,68.4,14.5,0.66,0.0,진입적정,0,221000.0,200500.0,234500.0,254000.0,,-0.65,0.58,194381,35.5,특이사항 없음,0,8.96,80.7,9.05,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,기타 화학제품 제조업,11064544250.0,91.9,29.19,0,0,-2.0,3.27,12.24,12.47,13.33,8.07,2.48,-16.95,-46.44,0.016,0.016,1,8.5,1,0,1.47,0.76,283500.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,v1_sl_first_gap_at_open,9.28,5.0,0.7,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,1,1,202660.0,13.69,-0.0067,False,O,▲,226315,▲,X,X,0,0,0,-0.89,250,0,1,1,1,0.0,기타 화학제품 제조업,8.020196078431372,19.193137254901963,9.0,29.2,OK,28.704403266199762,28.704403266199762,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,55.0,55.0,55.0,30.28,30.28,FRESH,0.62,,False,0.36,True,MATURE,4069.0,0.659,0.878,0.659,0.0,0.0,0.0,v22_calibrated,,,,,,True,6.1,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
275,139130,iM금융지주,KOSPI,금융,19280,76.09,30968.4,0.0,0.0,OVERHEAT,OVERHEAT,5,False,1,False,55.8,55.8,100.0,26.8,25.2,0.0,11.8,50.7,74.8,6.5,0.59,0.0,진입적정,0,19280.0,17890.0,20100.0,22000.0,,-0.54,0.54,17941,33.73,특이사항 없음,0,10.48,84.3,6.66,STRUCT 강점,,RSI 과열,과열 (RSI/수익률),CAUTION,49.2,기타 금융업,7608689870.0,78.2,22.34,0,0,1.37,1.58,5.41,15.38,29.14,45.73,5.39,-1.14,-8.78,0.062,0.062,1,7.3,1,0,1.54,0.92,24000.0,BB_UPPER,75,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,7.21,5.0,0.6,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,1,1,17211.0,7.46,-0.119,False,O,▲,19486,▲,X,X,0,0,0,-0.37,250,0,1,1,1,0.0,기타 금융업,8.51875,22.95075,8.0,25.2,OK,32.61534945348895,32.61534945348895,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,55.8,55.8,55.8,30.28,30.28,FRESH,0.62,,False,0.366,True,MATURE,4069.0,0.59,0.878,0.59,0.0,0.0,0.0,v22_calibrated,,,,,,True,4.3,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
