시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2
KOSDAQ,조이시티,067000,2030,89.46,1419.0,55.8,82.3,9.86,33.4012,8.02212,1.78,27.03,10.81,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",1885,1792,2025,2115
KOSPI,코오롱,002020,51300,73.4,6477.4,60.2,68.7,8.76,384.8824,44.69772,0.63,9.38,16.33,7,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",48100,45750,51600,54000
KOSDAQ,펄어비스,263750,37750,62.01,24253.6,63.4,61.8,3.3,162.7765,-115.59648,0.73,-3.45,5.15,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",37300,35450,40000,41850
KOSPI,금호석유화학,011780,115500,51.51,30066.7,49.5,66.8,-0.92,-282.0494,-184.81528,0.48,-5.25,3.4,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",115500,105900,129900,139600
KOSDAQ,에스피지,058610,46100,3582.27,10223.8,70.3,89.5,37.43,1214.687,557.25373,5.05,55.22,48.71,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",34200,32550,36750,38400
KOSDAQ,로킷헬스케어,376900,64700,2566.0,10133.0,76.1,76.9,55.11,2195.188,538.98884,2.33,53.86,83.29,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",42550,40450,45700,47750
KOSPI,이수페타시스,007660,122100,2312.65,89632.7,53.3,58.5,6.18,187.6548,-686.97372,0.95,9.9,17.4,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), MACD>Sig, 과열X",117300,111500,125900,131700
KOSDAQ,온코닉테라퓨틱스,476060,17140,1534.83,7625.6,71.8,69.4,9.78,105.2585,142.25945,2.7,18.53,24.38,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",15930,15150,17100,17880
KOSDAQ,코오롱티슈진,950160,65000,1493.79,54093.8,79.3,89.4,30.47,1510.1294,409.83667,3.56,20.82,46.89,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",50800,48350,54600,57000
KOSDAQ,올릭스,226950,133000,718.5,26752.7,62.9,75.7,7.96,78.5301,-677.77785,0.45,-4.39,9.92,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",125700,119500,134900,141100
KOSPI,신한지주,055550,77000,698.57,373831.1,57.1,69.0,0.3,-393.3015,-45.93349,0.69,-3.27,-0.52,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",77000,74500,80800,83300
KOSDAQ,삼현,437730,28800,649.25,9131.8,40.1,54.3,-0.2,-452.5472,241.36694,2.69,3.41,7.46,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 과열X",28800,24150,35800,40500
KOSPI,한국항공우주,047810,106600,570.11,103908.5,46.8,50.2,2.02,484.7976,-160.66736,0.76,3.39,9.9,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, 과열X",106600,101400,114400,119600
KOSDAQ,케어젠,214370,78200,529.58,42005.1,77.4,69.8,20.68,1017.084,778.13263,4.23,28.62,20.68,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",66100,62900,71000,74200
KOSPI,일동제약,249420,30650,513.64,9697.1,57.8,76.7,11.35,295.9947,-25.66074,0.4,4.79,9.07,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",28100,26700,30150,31500
KOSPI,아모레퍼시픽,090430,134400,507.26,78614.3,71.8,77.3,7.87,1127.446,187.05418,1.04,5.49,6.25,6,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",127100,120900,136400,142700
KOSPI,CJ,001040,185600,496.73,54152.5,57.4,63.3,7.3,2100.5359,276.56492,1.49,13.73,11.74,6,★,"RSI적정, MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig",176400,167800,189400,198100
KOSPI,하나금융지주,086790,91000,481.89,253276.5,59.0,74.4,0.33,-187.5845,-162.74592,0.48,-3.6,-1.09,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",91000,88000,95500,98600
KOSDAQ,파로스아이바이오,388870,7770,468.23,1005.9,75.9,89.5,32.76,192.11,47.75318,4.21,17.91,46.6,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5970,5680,6410,6700
KOSPI,디아이씨,092200,7060,369.29,2745.5,56.9,76.4,16.56,59.2994,11.56714,0.83,24.51,8.78,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",6180,5880,6630,6940
KOSDAQ,글로벌텍스프리,204620,6770,363.97,4758.2,75.8,91.6,17.3,130.5024,26.31419,2.51,19.4,25.6,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5890,5600,6320,6610
KOSPI,우리금융지주,316140,25950,337.47,190492.8,53.8,69.8,-0.49,-47.1138,-18.29025,0.57,-3.17,0.97,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",25950,24250,28550,30250
KOSPI,DB하이텍,000990,61900,332.95,26929.3,53.7,71.0,-0.92,-94.1025,-455.46451,0.52,-8.43,15.92,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",61900,51900,77000,87000
KOSDAQ,오스코텍,039200,54700,315.72,20927.2,71.3,80.1,15.91,711.2968,-2.01893,1.24,4.39,17.38,6,★,"거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",48150,45800,51700,54000
KOSDAQ,에이프릴바이오,397030,37300,291.49,8566.0,54.9,61.9,6.11,182.8963,-193.19004,0.6,-2.99,12.52,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",35850,34100,38500,40250
KOSPI,LG전자,066570,86400,267.97,140733.8,45.3,60.5,-3.02,-817.2561,-103.7056,0.38,-4.21,-2.15,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",86400,79300,97000,104100
KOSDAQ,한스바이오메드,042520,34750,237.02,4700.4,72.6,78.8,13.89,63.4057,14.87008,0.87,20.24,19.83,6,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig",31100,29600,33400,34950
KOSDAQ,보로노이,310210,235000,218.64,43223.8,66.1,62.2,9.72,887.8859,-144.40958,0.7,7.55,15.48,6,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",218500,208000,234500,245000
KOSDAQ,나우로보틱스,459510,21850,195.77,2821.7,40.7,65.7,2.25,78.7824,84.01336,1.18,2.58,13.62,6,★,"MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",21800,20750,23400,24450
KOSPI,맥쿼리인프라,088980,11520,164.86,55171.8,81.2,72.5,2.38,44.6947,0.37852,0.95,1.59,2.04,6,★,"MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",11480,11210,11880,12150
KOSPI,농심,004370,464500,154.02,28253.9,63.4,77.8,5.42,4501.5501,-309.33526,0.72,9.94,9.55,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",449500,427500,482500,504000
KOSDAQ,엘앤씨바이오,290650,52600,147.66,12949.5,47.0,65.5,-1.26,41.2738,-159.27495,0.47,4.37,3.54,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",52600,44700,64400,72300
KOSDAQ,SG,255220,2400,145.63,2368.6,64.5,70.1,9.93,22.9866,15.40154,4.78,12.15,17.94,6,★,"RSI적정, MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig",2225,2120,2390,2500
KOSPI,호텔신라,008770,48450,145.58,19015.7,48.8,63.4,2.75,393.0187,74.98953,1.23,5.9,11.64,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 자금유입(MFI), MACD>Sig, 과열X",48100,45750,51600,54000
KOSPI,LG생활건강,051900,295000,135.54,45142.3,56.8,67.8,1.8,434.4948,210.86127,0.66,0.34,2.08,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 자금유입(MFI), MACD>Sig, 과열X",295000,281000,316000,330000
KOSDAQ,핑거,163730,13460,132.09,1266.1,68.0,91.0,14.61,244.5015,27.19142,2.85,9.16,26.03,6,★,"MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",11980,11390,12860,13450
