시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,RR1,Now%,LDY_SCORE,ROUTE,AI_COMMENT,기준일,시총기준일
KOSPI,LS,006260,기타,180200,339.87,57123.4,,30.5,-6.38,-2259.9836,752.8186,0.8,0.95,-5.65,1,,"MACD상승, 정배열(단)",180200,167600,195300,211500,1.1984126984126984,0.0,69.7,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSDAQ,펩트론,087010,기타,286000,908.36,66687.6,,48.4,-7.81,-4633.6703,-1939.33753,0.79,-10.34,-14.5,2,,"정배열(단), 장기추세(120↑)",286000,266000,310000,336000,1.2,0.0,69.6,🔁 MR (반전),📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSDAQ,HLB,028300,기타,48600,262.07,64070.9,,42.4,1.38,-22.6149,36.08691,0.97,4.18,4.97,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",48600,45200,52700,57100,1.2058823529411764,0.0,69.5,🔺 Watch (관찰·돌파예상),📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,삼성중공업,010140,기타,24700,511.09,217360.0,,33.7,-3.53,-275.3688,45.71994,0.52,-2.56,-2.56,3,,"MACD상승, 정배열(단), 장기추세(120↑)",24700,22950,26750,29000,1.1714285714285715,0.0,69.3,↩️ PULL (눌림),📈 상승 추세가 견고하게 유지되고 있습니다. ,20251203,20251203
KOSPI,HJ중공업,097230,기타,22400,377.06,20226.2,,70.2,3.06,276.2272,59.98424,0.68,7.43,4.92,5,★,"MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig",22400,20800,24250,26300,1.15625,0.0,69.3,🔺 Watch (관찰·돌파예상),💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251203,20251203
KOSDAQ,티로보틱스,117730,기타,17210,256.21,3718.3,,59.2,4.95,6.8463,83.04124,1.25,14.28,11.68,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",16890,15710,18660,20450,1.5,1.8946121965660152,69.3,🔼 BRK (돌파),📈 상승 추세가 견고하게 유지되고 있습니다. ,20251203,20251203
KOSDAQ,티엘비,356860,기타,67900,270.79,6676.4,,66.9,1.35,-490.9406,150.43091,0.7,4.46,-3.41,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",67900,63100,73600,79800,1.1875,0.0,69.1,🔺 Watch (관찰·돌파예상),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,한화엔진,082740,기타,43600,277.14,36383.0,,34.9,1.87,133.6483,90.1152,0.61,-0.46,3.44,4,★,"MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",43600,40550,47250,51200,1.1967213114754098,0.0,68.9,↩️ PULL (눌림),📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,신한지주,055550,금융업,79900,963.7,387910.5,,54.7,1.77,39.1924,-1.05666,0.91,1.14,4.17,4,★,"20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",79900,75800,84900,90300,1.2195121951219512,0.0,68.6,↩️ PULL (눌림),✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSDAQ,삼천당제약,000250,기타,225000,147.94,52779.3,,55.1,2.3,473.8772,426.3648,0.55,8.17,3.45,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",225000,209000,244000,264500,1.1875,0.0,68.4,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,에이피알,278470,기타,245000,971.87,91705.1,,75.6,4.42,1802.3217,-817.65659,0.51,-2.0,9.13,4,★,"20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig",241500,224500,262000,284000,1.2058823529411764,1.4492753623188406,68.3,🔺 Watch (상승 준비),💰 외국인/기관의 강력한 수급이 집중되고 있습니다. ,20251203,20251203
KOSPI,한화시스템,272210,기타,46800,395.35,88414.3,,17.5,-6.02,-318.4705,180.49974,0.75,0.32,-6.77,0,,MACD상승,46800,43500,50700,55000,1.1818181818181819,0.0,68.2,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSDAQ,우리기술,032820,기타,4010,283.57,6683.2,,40.7,1.68,12.3919,18.04783,1.68,2.82,5.8,5,★,"MACD상승, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig",4010,3730,4345,4710,1.1964285714285714,0.0,68.1,🔺 Watch (관찰·돌파예상),📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251203,20251203
KOSPI,LIG넥스원,079550,기타,374500,275.51,82390.0,,36.7,-6.72,-1622.9733,850.34118,0.43,-4.46,-7.87,0,,MACD상승,374500,348500,406000,440000,1.2115384615384615,0.0,68.1,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSPI,한국전력,015760,전기가스업,51000,1335.97,327401.7,,49.3,3.83,-110.0837,-63.41481,0.38,-3.41,7.94,3,,"20선근접, 정배열(단), 장기추세(120↑)",50600,47050,54800,59400,1.1830985915492958,0.7905138339920948,67.7,🔁 MR (반전),특이사항 없음. 기술적 지표를 참고하세요.,20251203,20251203
