date,close,ret_1d_%,ret_3d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%
20220126,2709.24,-3.4972907531263364,-0.05241322289644135,1.3221420029233322,-0.17569502886417565,-0.3713218467171542,-2.590394354136205
20220127,2614.49,1.868433231720168,5.192982187730699,5.048020837715961,2.3733118122463814,3.405253032140121,2.027163997567394
20220128,2663.34,1.6700834290777733,3.068327738854215,3.961567054900983,2.4908573445372895,3.1441723550128753,1.1906102863322054
20220203,2707.82,1.5673124506060176,1.4273474603186287,2.3675872103758655,1.3394538780273413,0.20717772968659176,-0.7522656601989919
20220204,2750.26,-0.1890730330950663,0.6759360933147995,-0.09271850661393133,-0.20870754037800587,-3.5978416586068374,-2.537941867314364
20220207,2745.06,0.05136499748639167,0.9788492783399994,-1.4782919134736505,-0.04590063605166561,-4.468390490553931,-2.4585983548629065
20220208,2746.47,0.8148641710996385,0.045148863814281626,-2.5461774568810047,-1.44476364205689,-2.408546242995546,-3.712401737503035
20220209,2768.85,0.11123751738086884,-2.32479188110587,-1.4146667388988288,-1.7812449211766501,-3.8850064106036752,-5.707784820412809
20220210,2771.93,-0.8737594383696479,-3.4412845923237567,-1.0043543668129984,-4.442031364428378,-4.555670597742356,-6.32663884008614
20220211,2747.71,-1.5733101382605863,-0.656182784937287,-0.11609667686910408,-2.5821502269162244,-4.592187676283155,-5.657074436530785
20220214,2704.48,-1.0331006330237202,1.4646068745193253,1.4538839259303105,-0.19597112938531946,-1.673149736733126,-5.709045731526952
20220215,2676.54,1.9853990599804083,2.5398462193727767,1.130190469785619,1.0080178140434937,0.671389181555293,-2.7012486269586966
20220216,2729.68,0.5279007063099028,0.5172767503883291,-0.37183845725504705,0.6374373552944013,-0.8301339351132642,-4.876029424694462
20220217,2744.09,0.015670039976822814,-1.359284863105803,-3.472553742770823,-1.1173102923009215,-2.115090977336753,-4.506047542172453
20220218,2744.52,-0.026234095579547034,-0.910541734073711,-2.4689198839869864,-3.39622229023655,-1.257779138064219,-4.319152347222833
20220221,2743.8,-1.3488592463007598,-3.4623514833442615,-1.6262118230191858,-4.424520737663096,-0.3189007945185507,-5.520081638603402
20220222,2706.79,0.47066820846835,-1.1094322056753425,-0.12080730311549992,-0.9779111050358447,0.8449122392206299,-2.4937287340355163
20220223,2719.53,-2.600817052946647,-0.7482910650002172,1.0130426948774085,-2.141914227826136,0.3842575739190224,-2.6530319577279915
20220224,2648.8,1.0555723346421075,2.0658411356085704,2.4399728178797764,-0.11892177589852837,3.048927816369673,-1.6207339172455537
20220225,2676.76,0.8375797606060997,2.6270565908038,-0.9507763116603729,-2.0633153513949676,2.4025314185806668,-2.224330907515071
20220228,2699.18,0.16078957312961606,0.5279381145384843,-2.8445676094221106,-1.4800791351447407,1.762016612452677,-3.213198082380575
20220302,2703.52,1.6112327632124002,-1.9311860093507716,-0.8581404983132979,-0.33326921938804377,2.0022045333491167,-2.4216576907143184
20220303,2747.08,-1.2249370240400737,-4.538637389519051,-3.1233163941348563,-1.4582756963757881,-0.26318854929597846,-2.8182652125165686
20220304,2713.43,-2.289353327706989,-1.2202267978167702,-2.4979454048934313,-1.0090549599584109,1.638885101145049,-1.0145830185411042
20220307,2651.31,-1.090404366143527,0.3760405233639297,-1.1232183335784907,2.2136226997220287,4.069309133975274,0.289668126322451
20220308,2622.4,2.208663819402079,0.8865924344112264,1.4044386821232324,4.2956833435021435,4.294920683343517,1.8399176327028588
20220310,2680.32,-0.7103629417382962,-2.1933948185291263,0.5294143982808031,1.840824976122235,0.5797815186246336,-2.0139386341929355
20220311,2661.28,-0.5873113689653153,-0.07703060181567523,1.7187218180724884,2.5814645584079754,1.4695935790296266,-1.320041483797274
20220314,2645.65,-0.9116852191332847,1.846805132954099,1.5270349441536046,3.1716213406913107,1.793510101487339,-0.7638954510233775
20220315,2621.53,1.4380914961873437,3.2610727323356903,3.3747468081616327,4.559932558467761,1.7253283387945295,-0.9788177133200904
20220316,2659.23,1.326699834162537,1.0085626290317284,2.8512012875907766,3.2908022247041258,2.1532548895732972,-5.818225576576674
20220317,2694.51,0.4642773639734088,0.5748726113467661,1.3045043440180093,2.3432831943470234,0.8238974804324339,-7.47965307235825
20220318,2707.02,-0.7746525699847018,1.0354559626452708,0.8481651410037649,1.2127727168620872,-0.40487325546172404,-9.59135876351116
20220321,2686.05,0.8916438636659807,1.6235736490385344,1.6198507101505832,2.67493159099792,0.266562424377792,-8.735503806705026
20220322,2710.0,0.9243542435424468,0.7372693726937385,1.1464944649446585,1.815498154981543,0.3280442804427963,-9.92878228782288
20220323,2735.05,-0.19707135152923216,-0.20072759181734012,0.42741448968024454,-0.000731248057617151,-0.5981609111350816,-12.578197839161987
20220324,2729.66,0.011723071737868018,0.4180007766535043,1.025402431072009,-1.238249452312734,-0.053120168812226254,-11.749814995274132
20220325,2729.98,-0.015384728093248423,0.6139239115304784,0.361541110191288,-1.0838907244741791,-0.9256478069436413,-14.182155180624035
20220328,2729.56,0.42167968463782124,1.0291035917876945,1.0382625771186538,-1.3357464206685377,-2.653541230088363,-15.212708275326413
20220329,2741.07,0.20685352800182688,-0.044508166518919534,0.6614205401540119,-2.7109851262463125,-2.654437865505088,-13.661453374047372
20220330,2746.74,0.397198133059562,0.40629983180062723,-0.4263235690309064,-1.1013055476674194,-3.9202836817463504,-12.553791039559615
20220331,2757.65,-0.6454771272641602,0.056207277935915734,-2.2406759378456265,-1.484597392707565,-3.269450437872834,-12.168331731728099
20220401,2739.85,0.6587951895176802,-0.17592203952769836,-1.440224829826453,-1.5982626786137932,-1.6351260105480159,-13.207292370020262
20220404,2757.9,0.04713731462342441,-2.249537691721959,-2.3496138366148167,-2.3456252946082223,-2.554479857862879,-15.419703397512608
20220405,2759.2,-0.87597854450564,-2.131414902870399,-3.3502464482458527,-1.4609307045520437,-2.853725717599298,-16.446071325021737
20220406,2735.03,-1.4321597934940367,-1.5330727633700691,-0.6778719063410765,-0.5974340318022131,-2.100891032273866,-15.893427128770066
20220407,2695.86,0.16803543210699434,-1.0794329082370657,0.7734081146647087,1.1999881299473936,-1.9047725030231555,-13.134213200982249
20220408,2700.39,-0.269961005632513,0.5962101770484951,-0.16034720910682587,0.15997689222668754,-3.317298612422648,-15.123000751743254
20220411,2693.1,-0.9780550295198753,0.8766848613122491,0.004084512272117813,-1.3356355129776065,-3.5847164977163892,-13.324050350896732
20220412,2666.76,1.864809731659367,1.0987115450959095,1.9548065817696303,0.05812296569618347,-2.793277235296776,-11.855210067647636
20220413,2716.49,0.008098686172242076,-0.8569882458613787,0.08098686172230973,-2.850369410526077,-6.125919845094218,-13.849489598710097
20220414,2716.71,-0.760110574923345,0.08024411880545035,0.42330613131325023,-1.8117502420206932,-4.139933964243525,-14.685041833688539
20220415,2696.06,-0.1057098135798129,0.8393730109863995,0.32083855700542063,-0.03746207428617643,-3.689828861375488,-13.6291477192644
20220418,2693.21,0.9535090096947529,1.2995644602537437,-1.3396653064558617,-0.2138711797446291,-2.701980164933293,-13.771298933243227
20220419,2718.89,-0.007355943050280089,-0.5215363622654734,-1.8603179974180595,-1.4134444571130111,-3.41720334401171,-14.267219343187843
