date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct,tp2,tp3,tp1_hit,tp1_day,tp2_hit,tp2_day,tp3_hit,tp3_day,stop_hit,stop_day,tp1_before_stop,tp2_before_stop,tp3_before_stop,max_high_pct,min_low_pct,max_close_pct
20260403,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,8,ohlc_high_touch,2026-04-06,23.92,23.7,6980.0,0.0,True,8,True,9,False,0,False,0,True,True,False,60.82,-7.84,37.73
20260403,001780,알루코,1차 비철금속 제조업,🏆 최강,47.98,2440.0,2740.0,2130.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,3025.0,3255.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260406,289930,웨이비스,반도체 제조업,🏆 최강,48.8,19600.0,21300.0,16660.0,OPEN,19020.0,10,ohlc_horizon_close,2026-04-07,-2.96,-3.18,25750.0,28500.0,False,0,False,0,False,0,False,0,False,False,False,5.36,-12.86,1.99
20260408,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,5,ohlc_high_touch,2026-04-09,23.92,23.7,6980.0,0.0,True,5,True,6,False,0,False,0,True,True,False,64.54,-3.81,46.19
20260409,373220,LG에너지솔루션,일차전지 및 이차전지 제조업,🏆 최강,61.07,414500.0,491000.0,376500.0,WIN,491500.0,9,ohlc_gap_up,2026-04-10,18.58,18.36,527000.0,0.0,True,9,False,0,False,0,False,0,True,False,False,18.94,-3.74,16.89
20260410,282330,BGF리테일,종합 소매업,🏆 최강,57.65,131100.0,147800.0,123900.0,OPEN,134500.0,10,ohlc_horizon_close,2026-04-13,2.59,2.37,159400.0,174200.0,False,0,False,0,False,0,False,0,False,False,False,4.96,-4.42,4.81
20260410,356860,티엘비,전자부품 제조업,🏆 최강,43.39,74500.0,84000.0,63300.0,WIN,84000.0,4,ohlc_high_touch,2026-04-13,12.75,12.53,99100.0,107400.0,True,4,False,0,False,0,False,0,True,False,False,13.65,-12.69,7.92
20260413,009410,태영건설,토목 건설업,🏆 최강,57.16,1949.0,2225.0,1674.0,WIN,2225.0,2,ohlc_high_touch,2026-04-14,14.16,13.94,2430.0,2650.0,True,2,False,0,False,0,False,0,True,False,False,16.73,-1.13,9.03
20260413,356860,티엘비,전자부품 제조업,🏆 최강,40.73,74500.0,84000.0,63300.0,WIN,84000.0,3,ohlc_high_touch,2026-04-14,12.75,12.53,99500.0,107400.0,True,3,False,0,False,0,False,0,True,False,False,13.65,-4.55,7.92
20260414,025820,이구산업,1차 비철금속 제조업,🏆 최강,59.97,5500.0,6550.0,5020.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,7180.0,0.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260414,001120,LX인터내셔널,상품 중개업,🏆 최강,50.35,48950.0,54500.0,43800.0,WIN,54500.0,8,ohlc_gap_up,2026-04-15,11.34,11.12,60700.0,67100.0,True,8,False,0,False,0,False,0,True,False,False,15.83,-2.04,13.79
20260414,100840,SNT에너지,일반 목적용 기계 제조업,🏆 최강,48.85,58100.0,65700.0,49350.0,OPEN,57300.0,10,ohlc_horizon_close,2026-04-15,-1.38,-1.6,76600.0,84400.0,False,0,False,0,False,0,False,0,False,False,False,1.72,-11.19,-0.86
20260415,036200,유니셈,특수 목적용 기계 제조업,🏆 최강,51.76,10870.0,12810.0,9780.0,OPEN,11870.0,10,ohlc_horizon_close,2026-04-16,9.2,8.98,14690.0,0.0,False,0,False,0,False,0,False,0,False,False,False,15.92,-3.22,11.78
20260415,011280,태림포장,"골판지, 종이 상자 및 종이용기 제조업",🏆 최강,54.01,2215.0,2830.0,1882.0,OPEN,2095.0,10,ohlc_horizon_close,2026-04-16,-5.42,-5.64,3020.0,3110.0,False,0,False,0,False,0,False,0,False,False,False,5.64,-6.09,2.03
20260416,012330,현대모비스,자동차 신품 부품 제조업,🏆 최강,60.71,427000.0,531000.0,390000.0,OPEN,425000.0,10,ohlc_horizon_close,2026-04-17,-0.47,-0.69,557000.0,0.0,False,0,False,0,False,0,False,0,False,False,False,10.54,-1.99,6.91
20260416,368770,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",🏆 최강,62.63,23550.0,29950.0,20000.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,33400.0,34900.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260416,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,76.39,99500.0,113400.0,92000.0,OPEN,98700.0,10,ohlc_horizon_close,2026-04-17,-0.8,-1.02,122000.0,0.0,False,0,False,0,False,0,False,0,False,False,False,4.62,-5.03,2.71
20260417,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업",🏆 최강,57.7,1423000.0,1570000.0,1367000.0,OPEN,1465000.0,10,ohlc_horizon_close,2026-04-20,2.95,2.73,1655000.0,1711000.0,False,0,False,0,False,0,False,0,False,False,False,7.17,-3.09,2.95
20260417,096770,SK이노베이션,석유 정제품 제조업,🏆 최강,61.48,129400.0,149000.0,118000.0,WIN,149000.0,8,ohlc_high_touch,2026-04-20,15.15,14.93,164000.0,0.0,True,8,False,0,False,0,False,0,True,False,False,20.09,-1.7,15.77
20260420,307180,아이엘,전구 및 조명장치 제조업,🏆 최강,57.5,5060.0,5980.0,4300.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,9800.0,11480.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260420,451760,컨텍,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,60.28,20400.0,23950.0,17340.0,WIN,23950.0,8,ohlc_high_touch,2026-04-21,17.4,17.18,26350.0,27000.0,True,8,False,0,False,0,False,0,True,False,False,19.36,-2.06,13.48
20260420,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,60.62,102200.0,116500.0,94600.0,LOSS,94600.0,4,ohlc_low_touch,2026-04-21,-7.44,-7.66,125000.0,0.0,False,0,False,0,False,0,True,4,False,False,False,0.78,-7.53,-2.05
20260421,096770,SK이노베이션,석유 정제품 제조업,🏆 최강,55.99,131500.0,150600.0,120500.0,WIN,150600.0,6,ohlc_high_touch,2026-04-24,14.52,14.3,163900.0,0.0,True,6,False,0,False,0,False,0,True,False,False,18.17,-2.13,13.92
20260423,297090,씨에스베어링,일반 목적용 기계 제조업,🏆 최강,52.93,8130.0,9600.0,6960.0,OPEN,7190.0,10,ohlc_horizon_close,2026-04-24,-11.56,-11.78,10710.0,12110.0,False,0,False,0,False,0,False,0,False,False,False,16.85,-11.81,14.39
20260423,307180,아이엘,전구 및 조명장치 제조업,🏆 최강,83.63,5670.0,6580.0,4815.0,WIN,6700.0,6,ohlc_gap_up,2026-04-24,18.17,17.95,9800.0,11480.0,True,6,False,0,False,0,False,0,True,False,False,53.26,-5.64,41.09
20260424,297090,씨에스베어링,일반 목적용 기계 제조업,🏆 최강,40.37,8350.0,9600.0,7160.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,10710.0,12110.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260424,044490,태웅,기타 금속 가공제품 제조업,🏆 최강,66.7,53300.0,67500.0,45300.0,LOSS,45300.0,9,ohlc_low_touch,2026-04-28,-15.01,-15.23,78400.0,0.0,False,0,False,0,False,0,True,9,False,False,False,15.01,-16.79,10.32
20260427,039490,키움증권,금융 지원 서비스업,🏆 최강,55.41,453000.0,489000.0,422000.0,LOSS,422000.0,2,ohlc_low_touch,2026-04-28,-6.84,-7.06,517000.0,534000.0,True,5,False,0,False,0,True,2,False,False,False,8.72,-12.58,6.95
20260427,294870,IPARK현대산업개발,건물 건설업,🏆 최강,66.53,22950.0,25050.0,21250.0,OPEN,22650.0,10,ohlc_horizon_close,2026-04-28,-1.31,-1.53,27350.0,28250.0,False,0,False,0,False,0,False,0,False,False,False,6.1,-4.58,3.27
20260427,100840,SNT에너지,일반 목적용 기계 제조업,🏆 최강,44.68,57500.0,65700.0,48850.0,WIN,65700.0,5,ohlc_high_touch,2026-04-28,14.26,14.04,71200.0,74000.0,True,5,False,0,False,0,False,0,True,False,False,17.22,-13.91,11.48
20260430,089010,켐트로닉스,기타 화학제품 제조업,🏆 최강,51.2,37400.0,41200.0,33450.0,WIN,41200.0,2,ohlc_high_touch,2026-05-04,10.16,9.94,45150.0,51300.0,True,2,True,2,False,0,False,0,True,True,False,30.75,-10.03,22.19
20260430,012800,대창,1차 비철금속 제조업,🏆 최강,42.36,1650.0,1790.0,1489.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,1930.0,2115.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260430,036540,SFA반도체,반도체 제조업,🏆 최강,54.33,8300.0,10450.0,7170.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,11680.0,13240.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260501,089010,켐트로닉스,기타 화학제품 제조업,🏆 최강,51.2,37400.0,41200.0,33450.0,WIN,41200.0,2,ohlc_high_touch,2026-05-04,10.16,9.94,45150.0,51300.0,True,2,True,2,False,0,False,0,True,True,False,30.75,-10.03,22.19
20260501,012800,대창,1차 비철금속 제조업,🏆 최강,42.36,1650.0,1790.0,1489.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,1930.0,2115.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260501,036540,SFA반도체,반도체 제조업,🏆 최강,54.33,8300.0,10450.0,7170.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,11680.0,13240.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260504,100130,동국S&C,"구조용 금속제품, 탱크 및 증기발생기 제조업",🏆 최강,59.98,2545.0,2795.0,2315.0,LOSS,2315.0,2,ohlc_low_touch,2026-05-06,-9.04,-9.26,2910.0,3080.0,False,0,False,0,False,0,True,2,False,False,False,0.0,-22.16,-5.3
20260504,419530,SAMG엔터,"영화, 비디오물, 방송프로그램 제작 및 배급업",🏆 최강,62.48,39500.0,48450.0,35400.0,LOSS,35400.0,3,ohlc_low_touch,2026-05-06,-10.38,-10.6,50500.0,54000.0,False,0,False,0,False,0,True,3,False,False,False,5.82,-34.94,0.0
20260504,092460,한라IMS,선박 및 보트 건조업,🏆 최강,54.69,19610.0,21550.0,17580.0,WIN,21550.0,6,ohlc_high_touch,2026-05-06,9.89,9.67,23850.0,26800.0,True,6,False,0,False,0,False,0,True,False,False,10.15,-8.16,9.38
20260505,100130,동국S&C,"구조용 금속제품, 탱크 및 증기발생기 제조업",🏆 최강,59.86,2545.0,2795.0,2315.0,LOSS,2315.0,2,ohlc_low_touch,2026-05-06,-9.04,-9.26,2910.0,3080.0,False,0,False,0,False,0,True,2,False,False,False,0.0,-22.16,-5.3
20260505,419530,SAMG엔터,"영화, 비디오물, 방송프로그램 제작 및 배급업",🏆 최강,62.34,39500.0,48450.0,35400.0,LOSS,35400.0,3,ohlc_low_touch,2026-05-06,-10.38,-10.6,50500.0,54000.0,False,0,False,0,False,0,True,3,False,False,False,5.82,-34.94,0.0
20260505,092460,한라IMS,선박 및 보트 건조업,🏆 최강,54.69,19610.0,21550.0,17580.0,WIN,21550.0,6,ohlc_high_touch,2026-05-06,9.89,9.67,23850.0,26800.0,True,6,False,0,False,0,False,0,True,False,False,10.15,-8.16,9.38
20260506,042510,라온시큐어,소프트웨어 개발 및 공급업,🏆 최강,78.08,13370.0,16960.0,11360.0,LOSS,11360.0,6,ohlc_low_touch,2026-05-08,-15.03,-15.25,19790.0,22850.0,False,0,False,0,False,0,True,6,False,False,False,5.16,-19.22,-1.72
20260506,078930,GS,기타 금융업,🏆 최강,70.48,76900.0,84000.0,70500.0,LOSS,70500.0,6,ohlc_low_touch,2026-05-07,-8.32,-8.54,88500.0,90400.0,True,7,False,0,False,0,True,6,False,False,False,12.74,-11.31,3.25
20260507,417500,제이아이테크,기타 화학제품 제조업,🏆 최강,53.44,4805.0,5350.0,4380.0,WIN,5350.0,3,ohlc_high_touch,2026-05-08,11.34,11.12,6160.0,6960.0,True,3,False,0,False,0,True,7,True,False,False,15.71,-16.75,13.01
20260507,011700,한신기계,일반 목적용 기계 제조업,🏆 최강,52.94,5090.0,5880.0,4500.0,OPEN,4670.0,1,ohlc_horizon_close,2026-05-08,-8.25,-8.47,6240.0,0.0,False,0,False,0,False,0,False,0,False,False,False,-1.77,-9.43,-8.25
20260507,328130,루닛,소프트웨어 개발 및 공급업,🏆 최강,72.97,20850.0,24550.0,18170.0,LOSS,18170.0,3,ohlc_low_touch,2026-05-08,-12.85,-13.07,25900.0,27100.0,False,0,False,0,False,0,True,3,False,False,False,1.2,-21.39,-5.18
20260508,329180,HD현대중공업,선박 및 보트 건조업,🏆 최강,49.51,658000.0,710000.0,594000.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,774000.0,799000.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260511,078930,GS,기타 금융업,🏆 최강,72.45,77400.0,84000.0,71500.0,LOSS,71500.0,2,ohlc_low_touch,2026-05-12,-7.62,-7.84,89800.0,98400.0,True,4,False,0,False,0,True,2,False,False,False,12.02,-11.89,-0.13
20260513,087010,펩트론,기초 의약물질 제조업,🏆 최강,64.8,266500.0,305000.0,245000.0,LOSS,245000.0,3,ohlc_low_touch,2026-05-14,-8.07,-8.29,359000.0,392500.0,True,10,False,0,False,0,True,3,False,False,False,24.58,-12.76,20.08
20260522,321370,센서뷰,전자부품 제조업,🏆 최강,53.9,3520.0,4340.0,2990.0,LOSS,2990.0,5,ohlc_low_touch,2026-05-26,-15.06,-15.28,4550.0,4900.0,False,0,False,0,False,0,True,5,False,False,False,17.76,-33.95,12.93
20260522,090360,로보스타,특수 목적용 기계 제조업,🏆 최강,56.38,85400.0,97900.0,72500.0,WIN,122200.0,5,ohlc_gap_up,2026-05-26,43.09,42.87,116500.0,124600.0,True,5,True,5,True,6,False,0,True,True,True,100.94,-13.58,85.95
20260522,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,71.89,82000.0,99400.0,70400.0,WIN,99400.0,3,ohlc_high_touch,2026-05-27,21.22,21.0,107600.0,111400.0,True,3,True,3,True,3,False,0,True,True,True,86.95,-3.17,75.24
20260525,321370,센서뷰,전자부품 제조업,🏆 최강,53.77,3520.0,4340.0,2990.0,LOSS,2990.0,5,ohlc_low_touch,2026-05-26,-15.06,-15.28,4550.0,4900.0,False,0,False,0,False,0,True,5,False,False,False,17.76,-33.95,12.93
20260525,090360,로보스타,특수 목적용 기계 제조업,🏆 최강,56.38,85400.0,97900.0,72500.0,WIN,122200.0,5,ohlc_gap_up,2026-05-26,43.09,42.87,116500.0,124600.0,True,5,True,5,True,6,False,0,True,True,True,100.94,-13.58,85.95
20260525,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,72.15,82000.0,99400.0,70400.0,WIN,99400.0,3,ohlc_high_touch,2026-05-27,21.22,21.0,107600.0,111400.0,True,3,True,3,True,3,False,0,True,True,True,86.95,-3.17,75.24
20260526,000815,삼성화재우,기타,🏆 최강,71.22,392000.0,425000.0,372500.0,LOSS,372500.0,2,ohlc_low_touch,2026-05-27,-4.97,-5.19,472500.0,0.0,False,0,False,0,False,0,True,2,False,False,False,7.02,-7.78,4.97
20260526,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,56.6,82900.0,99400.0,71300.0,WIN,99400.0,3,ohlc_high_touch,2026-05-27,19.9,19.68,109000.0,111400.0,True,3,True,3,True,3,False,0,True,True,True,84.92,-4.22,73.34
20260604,007660,이수페타시스,전자부품 제조업,🏆 최강,61.67,133700.0,154300.0,113600.0,LOSS,103800.0,2,ohlc_gap_down,2026-06-05,-22.36,-22.58,164400.0,176400.0,False,0,False,0,False,0,True,2,False,False,False,-1.42,-22.59,-7.26
20260617,089030,테크윙,특수 목적용 기계 제조업,🏆 최강,60.18,61200.0,74000.0,51900.0,LOSS,51900.0,5,ohlc_low_touch,2026-06-18,-15.2,-15.42,76400.0,87700.0,False,0,False,0,False,0,True,5,False,False,False,4.58,-20.26,-0.16
20260701,037710,광주신세계,종합 소매업,🏆 최강,54.97,43500.0,59600.0,36950.0,OPEN,47600.0,9,ohlc_horizon_close,2026-07-03,9.43,9.21,61200.0,66800.0,False,0,False,0,False,0,False,0,False,False,False,18.16,-14.02,16.09
20260709,161890,한국콜마,기타 화학제품 제조업,🏆 최강,61.35,102800.0,124600.0,88300.0,OPEN,107200.0,4,ohlc_horizon_close,2026-07-10,4.28,4.06,131700.0,137800.0,False,0,False,0,False,0,False,0,False,False,False,14.69,-3.11,12.65
