종목코드,종목명,시장,종가
000640,동아쏘시오홀딩스,KOSPI,122400
170900,동아에스티,KOSPI,56200
028100,동아지질,KOSPI,16800
001520,동양,KOSPI,820
001527,동양2우B,KOSPI,8750
084670,동양고속,KOSPI,102800
082640,동양생명,KOSPI,6680
001525,동양우,KOSPI,5250
018500,동원금속,KOSPI,1346
006040,동원산업,KOSPI,43900
030720,동원수산,KOSPI,6090
014820,동원시스템즈,KOSPI,27000
014825,동원시스템즈우,KOSPI,17720
111380,동인기연,KOSPI,13920
163560,동일고무벨트,KOSPI,6810
004890,동일산업,KOSPI,39900
002690,동일제강,KOSPI,1625
000020,동화약품,KOSPI,6310
000150,두산,KOSPI,821000
000157,두산2우B,KOSPI,437500
454910,두산로보틱스,KOSPI,81100
241560,두산밥캣,KOSPI,61300
034020,두산에너빌리티,KOSPI,77300
000155,두산우,KOSPI,499500
336260,두산퓨얼셀,KOSPI,30400
33626K,두산퓨얼셀1우,KOSPI,7320
33626L,두산퓨얼셀2우B,KOSPI,11130
016740,두올,KOSPI,3810
192650,드림텍,KOSPI,6950
024090,디씨엠,KOSPI,12600
003160,디아이,KOSPI,19340
092200,디아이씨,KOSPI,12330
377190,디앤디플랫폼리츠,KOSPI,3450
013570,디와이,KOSPI,4370
024900,디와이덕양,KOSPI,2180
210540,디와이파워,KOSPI,13680
032350,롯데관광개발,KOSPI,23400
089860,롯데렌탈,KOSPI,31950
330590,롯데리츠,KOSPI,3950
000400,롯데손해보험,KOSPI,1778
023530,롯데쇼핑,KOSPI,74500
020150,롯데에너지머티리얼즈,KOSPI,33650
280360,롯데웰푸드,KOSPI,121600
286940,롯데이노베이트,KOSPI,19880
004000,롯데정밀화학,KOSPI,47100
004990,롯데지주,KOSPI,28750
00499K,롯데지주우,KOSPI,29000
005300,롯데칠성,KOSPI,133400
005305,롯데칠성우,KOSPI,73700
011170,롯데케미칼,KOSPI,73300
071840,롯데하이마트,KOSPI,7820
027740,마니커,KOSPI,786
357430,마스턴프리미어리츠,KOSPI,1614
001080,만호제강,KOSPI,41400
088980,맥쿼리인프라,KOSPI,11640
094800,맵스리얼티,KOSPI,5010
138040,메리츠금융지주,KOSPI,109700
090370,메타랩스,KOSPI,1561
118000,메타케어,KOSPI,300
017180,명문제약,KOSPI,1837
009900,명신산업,KOSPI,8890
317450,명인제약,KOSPI,79300
012690,모나리자,KOSPI,2175
005360,모나미,KOSPI,1999
070960,모나용평,KOSPI,3460
009680,모토닉,KOSPI,11440
009580,무림P&P,KOSPI,2585
009200,무림페이퍼,KOSPI,2020
033920,무학,KOSPI,8770
008420,문배철강,KOSPI,2085
025560,미래산업,KOSPI,12780
007120,미래아이앤지,KOSPI,1030
396690,미래에셋글로벌리츠,KOSPI,2605
357250,미래에셋맵스리츠,KOSPI,2635
085620,미래에셋생명,KOSPI,8800
006800,미래에셋증권,KOSPI,21400
00680K,미래에셋증권2우B,KOSPI,9990
006805,미래에셋증권우,KOSPI,10970
081660,미스토홀딩스,KOSPI,43100
002840,미원상사,KOSPI,152900
268280,미원에스씨,KOSPI,140800
107590,미원홀딩스,KOSPI,67700
134380,미원화학,KOSPI,94500
003650,미창석유,KOSPI,115100
377740,바이오노트,KOSPI,5620
003610,방림,KOSPI,5930
035150,백산,KOSPI,13330
002410,범양건영,KOSPI,1935
007210,벽산,KOSPI,1769
002760,보락,KOSPI,1034
003850,보령,KOSPI,9270
000890,보해양조,KOSPI,428
003000,부광약품,KOSPI,3870
001270,부국증권,KOSPI,59400
001275,부국증권우,KOSPI,30600
026940,부국철강,KOSPI,2065
011390,부산산업,KOSPI,76000
005030,부산주공,KOSPI,486
006740,블루산업개발,KOSPI,853
002070,비비안,KOSPI,635
100220,비상교육,KOSPI,4940
090460,비에이치,KOSPI,18250
005180,빙그레,KOSPI,75300
003960,사조대림,KOSPI,37850
008040,사조동아원,KOSPI,1129
007160,사조산업,KOSPI,58500
014710,사조씨푸드,KOSPI,9000
006090,사조오양,KOSPI,9510
062040,산일전기,KOSPI,139700
001470,삼부토건,KOSPI,347
028050,삼성E&A,KOSPI,24900
448730,삼성FN리츠,KOSPI,4525
006400,삼성SDI,KOSPI,293500
006405,삼성SDI우,KOSPI,183800
006660,삼성공조,KOSPI,14260
028260,삼성물산,KOSPI,243000
02826K,삼성물산우B,KOSPI,148600
207940,삼성바이오로직스,KOSPI,1790000
032830,삼성생명,KOSPI,151700
018260,삼성에스디에스,KOSPI,172700
0126Z0,삼성에피스홀딩스,KOSPI,712000
009150,삼성전기,KOSPI,255000
009155,삼성전기우,KOSPI,122400
005930,삼성전자,KOSPI,102800
005935,삼성전자우,KOSPI,79800
001360,삼성제약,KOSPI,1710
010140,삼성중공업,KOSPI,24900
016360,삼성증권,KOSPI,78900
068290,삼성출판사,KOSPI,11670
029780,삼성카드,KOSPI,56000
000810,삼성화재,KOSPI,485500
000815,삼성화재우,KOSPI,376500
006110,삼아알미늄,KOSPI,25350
0120G0,삼양바이오팜,KOSPI,69300
145990,삼양사,KOSPI,50600
145995,삼양사우,KOSPI,38450
003230,삼양식품,KOSPI,1243000
002170,삼양통상,KOSPI,56100
272550,삼양패키징,KOSPI,14190
000070,삼양홀딩스,KOSPI,61700
003720,삼영,KOSPI,6450
002810,삼영무역,KOSPI,16900
005680,삼영전자,KOSPI,10720
023000,삼원강재,KOSPI,2490
004380,삼익THK,KOSPI,9960
002450,삼익악기,KOSPI,1251
004440,삼일씨엔에스,KOSPI,4800
000520,삼일제약,KOSPI,10150
009770,삼정펄프,KOSPI,31800
005500,삼진제약,KOSPI,20550
004690,삼천리,KOSPI,131000
010960,삼호개발,KOSPI,3635
004450,삼화왕관,KOSPI,31300
009470,삼화전기,KOSPI,28450
011230,삼화전자,KOSPI,2770
001820,삼화콘덴서,KOSPI,31700
000390,삼화페인트,KOSPI,5990
001290,상상인증권,KOSPI,636
041650,상신브레이크,KOSPI,2705
075180,새론오토모티브,KOSPI,3375
007540,샘표,KOSPI,50300
248170,샘표식품,KOSPI,29450
007860,서연,KOSPI,9800
200880,서연이화,KOSPI,12590
017390,서울가스,KOSPI,65700
031210,서울보증보험,KOSPI,49900
004410,서울식품,KOSPI,153
004415,서울식품우,KOSPI,1223
021050,서원,KOSPI,1047
008490,서흥,KOSPI,21700
007610,선도전기,KOSPI,3000
