종목코드,업종
003120,기타
300080,기술성장기업부
241590,기타
018310,기타
002320,기타
035810,기타
078350,기타
265520,기타
286940,기타
025770,기타
003920,기타
459510,기술성장기업부
043150,기타
298830,벤처기업부
000320,기타
294570,기타
002810,기타
035600,기타
058820,기타
334890,기타
007690,기타
156100,벤처기업부
011760,기타
476040,기술성장기업부
036030,기타
005710,기타
005500,기타
003200,기타
0008Z0,벤처기업부
033530,기타
347700,기술성장기업부
006405,기타
061090,기타
092460,기타
378340,벤처기업부
036890,기타
002900,기타
049630,기타
115450,기타
0030R0,기타
004360,기타
065710,기타
089980,기타
151860,기타
036200,기타
045390,기타
003220,기타
472850,기타
006340,기타
108670,기타
267980,기타
060720,벤처기업부
382900,벤처기업부
462860,기타
402030,기술성장기업부
035150,기타
236200,기타
110990,기타
481070,기타
023410,기타
108380,기타
295310,기술성장기업부
007160,기타
049070,기타
096760,기타
000680,기타
018000,기타
078020,기타
013890,기타
006910,벤처기업부
394280,기술성장기업부
194700,기타
372170,기술성장기업부
122900,기타
900290,외국기업(소속부없음)
452450,벤처기업부
182400,관리종목(소속부없음)
176750,기술성장기업부
114840,기타
001340,기타
001460,기타
061970,기타
023760,기타
092790,기타
452430,기술성장기업부
199430,기술성장기업부
226320,기타
008490,기타
001790,기타
053300,기타
077360,기타
121800,관리종목(소속부없음)
025000,기타
484120,기타
001130,기타
088800,기타
043370,기타
053210,기타
200470,기타
084850,기타
013120,기타
000430,기타
377460,관리종목(소속부없음)
003720,기타
027360,벤처기업부
036800,기타
051370,기타
150840,관리종목(소속부없음)
334970,기술성장기업부
000490,기타
299030,벤처기업부
128820,기타
078520,기타
037710,기타
007570,기타
034810,기타
024850,기타
051905,기타
039840,기타
371950,기술성장기업부
393890,기술성장기업부
001750,기타
051360,기타
950140,외국기업(소속부없음)
241770,기타
418550,기술성장기업부
001630,기타
323990,기술성장기업부
237880,기타
001230,기타
005950,기타
270660,벤처기업부
004980,기타
067390,기타
487570,기타
007860,기타
033920,기타
318060,기술성장기업부
389020,기술성장기업부
041020,벤처기업부
217270,기타
474650,기술성장기업부
011500,기타
054210,기타
003610,기타
235980,기술성장기업부
126700,기타
368770,벤처기업부
000540,기타
377450,기타
210980,기타
000480,기타
234030,기타
