종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,개인순매수,메이저순매수,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RAW_TRIGGER_SCORE,EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
005090,SGC에너지,KOSPI,전기업,전기업,기타,28600,70.19,0.0,OVERHEAT,False,False,False,23250,21050,27700,30470.000000000004,86.4,82.56521834824692,86.4,84.0,84.0,,90.69999694824219,0.0,,,OVERHEAT,,36.19,18.43,25.23,-1.71,-40.27,0,,,,,,,,91.5,90.8,29.08,44.4,0,0,0.88,31.19,34.91,22.22,0.0,0.0,1,24.09,9.6,4.22,1,0,2.33,0.93,1,1,22995.0,26283,8.81,0.7016,2.74,3.16,False,O,▲,24769,▲,O,X,0.0,0.0,0.0,0.0,3.0907236842105266,7.204473684210526,11.0,82.56521834824692,6,84.0,87.7,90.7,21,20260206,20260206,23.93,22.22,22.22,-1.71
138930,BNK금융지주,KOSPI,기타 금융업,기타 금융업,금융,18500,270.15,0.0,OVERHEAT,False,False,False,18500,17380,20750,22825.000000000004,80.8,81.96529010206953,80.8,80.0,80.0,,73.19999694824219,0.0,,,OVERHEAT,,20.92,27.59,9.96,-1.66,-31.11,0,,,,,,,,94.0,94.1,14.69,26.91,0,0,3.87,11.38,16.35,22.27,0.0,0.0,1,20.43,7.2,7.68,1,0,1.21,0.97,1,1,15991.0,17574,5.27,0.1717,1.41,1.61,False,O,▲,17740,▲,O,X,0.0,0.0,0.0,0.0,5.019736842105263,8.838157894736844,8.0,81.96529010206953,6,80.0,87.1,73.2,22,20260206,20260206,23.93,22.22,22.27,-1.66
123330,제닉,KOSDAQ,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,23350,106.42,0.0,OVERHEAT,False,False,False,19540,16350,25950,28545.000000000004,81.5,67.0,81.5,74.6,74.6,,91.30000305175781,0.0,,,OVERHEAT,,35.6,-30.3,21.59,-5.24,-63.42,0,,,,,,,,71.8,76.7,25.5,52.94,0,0,7.11,42.73,21.87,16.98,0.202,0.035,1,4.09,12.0,2.76,1,0,1.56,0.89,1,1,17001.0,21139,10.46,0.2859,1.44,1.99,False,O,▼,21717,▲,O,X,0.0,0.0,0.0,0.0,2.26,16.127333333333333,5.0,67.0,6,74.6,86.4,91.3,23,20260206,20260206,23.93,22.22,16.98,-5.24
001430,세아베스틸지주,KOSPI,1차 철강 제조업,1차 철강 제조업,철강·금속,83800,560.42,0.0,WAIT,False,False,True,83800,70400,110500,121550.00000000001,77.0,63.27197434351383,77.0,71.2,71.2,,77.69999694824219,0.0,,,WAIT,,35.82,189.97,24.86,184.16,131.27,0,,,,,,,,60.8,59.5,14.15,34.19,0,0,4.36,15.11,11.73,208.09,0.0,0.0,1,217.73,12.0,7.19,0,0,1.09,0.71,1,1,69640.0,81160,3.25,0.4018,1.39,1.39,False,O,▲,80139,▲,O,X,0.0,0.0,0.0,0.0,-0.9310000000000003,10.68,10.0,63.27197434351383,6,71.2,86.3,77.7,24,20260206,20260206,23.93,22.22,208.09,184.16
000390,삼화페인트,KOSPI,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,7310,53.05,0.0,WAIT,False,False,True,7310,6770,8380,9218.0,75.1,90.0,75.1,60.6,60.6,,96.30000305175781,0.0,,,WAIT,,8.46,18.67,-2.5,3.64,-40.03,2,,,,,,,,71.6,70.9,7.08,14.03,0,0,0.0,5.03,7.98,27.57,0.596,0.596,0,-1.37,7.6,1.38,1,1,0.92,0.85,1,1,6410.0,7144,2.31,0.2328,1.64,1.01,False,O,▲,7152,▲,O,X,0.0,0.0,0.0,0.0,2.26,16.127333333333333,5.0,90.0,6,60.6,85.0,96.3,25,20260206,20260206,23.93,22.22,27.57,3.64
175330,JB금융지주,KOSPI,기타 금융업,기타 금융업,금융,28400,343.87,0.0,OVERHEAT,False,False,False,28400,26300,32600,35860.0,74.1,79.96196807912628,74.1,64.2,64.2,,82.80000305175781,0.0,,,OVERHEAT,,15.68,29.09,4.72,-2.82,-29.61,0,,,,,,,,84.6,81.6,13.76,25.78,0,0,0.0,12.92,16.87,21.11,0.0,0.0,1,17.86,8.7,1.74,1,0,1.31,0.89,1,1,24335.0,27107,4.77,0.3459,0.94,2.05,False,O,▲,27128,▲,O,X,0.0,0.0,0.0,0.0,5.019736842105263,8.838157894736844,8.0,79.96196807912628,6,64.2,84.8,82.8,26,20260206,20260206,23.93,22.22,21.11,-2.82
017800,현대엘리베이터,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,102200,609.18,0.0,OVERHEAT,False,False,False,102200,95700,115100,126610.00000000001,80.9,79.24115815905981,80.9,78.2,78.2,,83.19999694824219,0.0,,,OVERHEAT,,17.74,21.09,6.78,14.74,-37.61,0,,,,,,,,76.3,71.2,10.77,16.13,0,0,6.24,8.26,9.19,38.67,0.0,0.0,1,24.88,7.5,2.42,1,1,1.4,0.95,1,1,87380.0,97176,5.17,0.1197,2.29,1.64,False,O,▲,96373,▲,O,X,0.0,0.0,0.0,0.0,-0.7967073170731706,11.179756097560976,9.0,79.24115815905981,8,78.2,84.0,83.2,27,20260206,20260206,23.93,22.22,38.67,14.74
389020,자람테크놀로지,KOSDAQ,반도체 제조업,반도체 제조업,반도체,42250,91.82,0.0,WAIT,False,False,True,42250,37350,52000,57200.00000000001,81.6,58.621715619600245,81.6,89.0,89.0,,60.70000076293945,0.0,,,WAIT,,4.32,6.83,-9.69,-12.19,-26.29,0,,,,,,,,63.3,72.6,7.8,21.05,0,0,5.1,4.06,10.31,10.03,0.045,0.045,1,3.01,12.0,6.51,0,0,1.63,0.76,1,1,35145.0,40626,4.0,0.0234,2.09,1.14,False,O,▲,41860,▲,O,X,0.0,0.0,0.0,0.0,5.601428571428571,17.63190476190476,3.0,58.621715619600245,8,89.0,83.3,60.7,28,20260206,20260206,23.93,22.22,10.03,-12.19
482630,삼양엔씨켐,KOSDAQ,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,39500,255.81,0.0,OVERHEAT,False,False,False,30500,24700,42150,46365.00000000001,79.5,78.0,79.5,79.1,79.1,,75.5999984741211,0.0,,,OVERHEAT,,43.38,119.08,29.37,99.44,85.96,1,,,,,,,,90.6,96.1,35.93,56.48,0,0,4.91,29.72,49.91,121.66,0.0,0.0,1,87.37,12.0,9.15,0,0,1.59,0.95,1,1,28357.5,35484,11.31,0.5415,1.24,2.23,False,O,▲,34440,▲,O,X,0.0,0.0,0.0,0.0,2.26,16.127333333333333,5.0,78.0,6,79.1,82.7,75.6,29,20260206,20260206,23.93,22.22,121.66,99.44
272110,케이엔제이,KOSDAQ,반도체 제조업,반도체 제조업,반도체,32200,195.99,0.0,WAIT,False,False,True,26250,21650,35450,38995.0,77.8,59.635236123866946,77.8,73.7,73.7,,81.4000015258789,0.0,,,WAIT,,62.63,70.01,48.62,-10.02,36.89,0,,,,,,,,72.6,74.8,28.68,59.41,0,0,14.18,15.0,39.39,12.2,0.0,0.0,1,13.02,12.0,19.65,1,0,1.23,0.89,1,1,22595.0,29130,10.54,0.0071,2.27,1.54,False,O,▲,30405,▲,O,X,0.0,0.0,0.0,0.0,5.601428571428571,17.63190476190476,3.0,59.635236123866946,6,73.7,82.3,81.4,30,20260206,20260206,23.93,22.22,12.2,-10.02
