종목코드,종목명,기준일,업종,종가,거래대금(억원),RSI14,MFI14,MACD_Slope,BandWidth,ret_5d_%,ret_10d_%,ret_60d_%,rel_60d_%,EBS,근거,추천매수가,손절가,추천매도가1,RR1,Now%,ma20_above,업종_대분류,Sector_Mom_5d,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME
203400,에이비온,20251212,자연과학 및 공학 연구개발업,2930,73.5,56.3,58.8,-32.61101,92.6,-23.4,7.52,16.13,5.47,1,,2930,2637,3369,1.5,0.0,0,기타,5.58321554770318,70.3,92.5,↩️ PULL (눌림),② 상승 후 조정
336260,두산퓨얼셀,20251212,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",32100,249.9,59.1,59.1,84.171,16.2,-8.02,0.94,-1.98,-24.7,3,,31590,28518,36197,1.5,1.61,1,기타,5.58321554770318,70.3,86.1,↩️ PULL (눌림),④ 바닥 반등 시도
006730,서부T&D,20251212,일반 및 생활 숙박시설 운영업,13150,836.7,54.1,79.0,25.78942,29.7,16.79,19.11,27.18,16.52,4,수급↑,11726,10553,14071,2.0,12.14,1,기타,5.58321554770318,70.1,60.0,🔺 Watch (상승 준비),① 강한 상승 추세
010950,S-Oil,20251212,석유 정제품 제조업,81600,118.3,50.3,39.2,115.02794,19.6,1.37,6.39,37.84,15.12,2,,81600,76200,89700,1.5,0.0,0,기타,5.58321554770318,69.8,92.5,🔺 Watch (상승 준비),① 강한 상승 추세
066970,엘앤에프,20251212,일차전지 및 이차전지 제조업,128400,498.9,70.4,53.2,21.8125,16.6,4.05,2.56,96.03,73.31,2,,125245,112720,144031,1.5,2.52,1,2차전지,6.867999999999999,69.7,82.4,🔺 Watch (상승 준비),⑤ 하락 / 약세
010120,LS ELECTRIC,20251212,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",506000,582.2,69.7,69.0,25.78426,22.1,-1.75,10.0,60.13,37.41,3,수급↑,475600,428040,546940,1.5,6.39,1,기타,5.58321554770318,69.7,66.9,↩️ PULL (눌림),① 강한 상승 추세
089890,코세스,20251212,특수 목적용 기계 제조업,25900,176.6,48.5,36.1,88.3151,23.3,1.97,-12.05,109.04,98.38,2,,25900,23310,29785,1.5,0.0,0,조선·기계·방산,6.275344827586206,69.5,92.5,🔺 Watch (상승 준비),⑤ 하락 / 약세
267260,HD현대일렉트릭,20251212,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",866000,1168.7,71.5,77.9,1142.45204,18.0,4.09,11.74,45.55,22.83,3,수급↑,806450,731164,919378,1.5,7.38,1,기타,5.58321554770318,69.5,63.0,🔺 Watch (상승 준비),⑤ 하락 / 약세
214450,파마리서치,20251212,의료용품 및 기타 의약 관련제품 제조업,394000,375.0,44.4,34.0,996.23237,28.3,-1.87,-16.17,-38.82,-49.48,1,,394000,354600,453100,1.5,0.0,0,바이오·의약품,10.354210526315791,69.2,92.5,↩️ PULL (눌림),④ 바닥 반등 시도
011170,롯데케미칼,20251212,기초 화학물질 제조업,74400,69.2,49.6,60.4,174.17272,17.7,2.06,3.05,11.54,-11.18,3,수급↑,74400,68285,83571,1.5,0.0,0,기타,5.58321554770318,69.0,92.5,🔻 REV (역추세 반등),④ 바닥 반등 시도
101490,에스앤에스텍,20251212,전자부품 제조업,47750,95.8,59.7,57.6,5.54467,23.4,-2.15,-2.35,-4.88,-15.54,2,,47750,42975,54912,1.5,0.0,0,기타,5.58321554770318,68.8,92.5,↩️ PULL (눌림),④ 바닥 반등 시도
336570,원텍,20251212,의료용 기기 제조업,7780,57.7,60.3,72.8,9.5327,7.3,4.43,2.23,-26.19,-36.85,4,"수급↑,Squeeze",7507,7024,8473,2.0,3.63,1,바이오·의약품,10.354210526315791,68.8,85.5,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도
003160,디아이,20251212,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",21250,88.8,50.4,44.3,10.39503,32.4,-4.92,-0.7,45.55,22.83,2,,21250,19125,24437,1.5,0.0,0,기타,5.58321554770318,68.7,92.5,↩️ PULL (눌림),① 강한 상승 추세
006260,LS,20251212,기타 금융업,195000,813.0,66.7,55.2,682.06844,16.2,3.45,9.0,6.79,-15.93,2,,185165,170922,206529,1.5,5.31,1,금융,2.2256249999999995,68.5,63.5,🔻 REV (역추세 반등),④ 바닥 반등 시도
034020,두산에너빌리티,20251212,일반 목적용 기계 제조업,79700,4343.9,67.8,68.9,155.21921,11.6,-0.87,4.32,30.66,7.94,3,수급↑,76615,70715,85465,1.5,4.03,1,조선·기계·방산,6.275344827586206,68.4,76.4,↩️ PULL (눌림),⑤ 하락 / 약세
084370,유진테크,20251212,특수 목적용 기계 제조업,75000,678.9,43.0,46.9,3.69727,19.4,-2.6,-6.02,37.11,26.45,1,,75000,68128,85307,1.5,0.0,0,조선·기계·방산,6.275344827586206,68.3,92.5,↩️ PULL (눌림),⑤ 하락 / 약세
