시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2
KOSDAQ,플리토,300080,기타,18020,148.32,2974.3,66.8,73.9,11.78,-46.5329,104.5631,2.57,8.42,9.68,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",16610,15440,18000,19510
KOSDAQ,에이팩트,200470,기타,4715,137.24,1997.4,45.1,78.4,-2.04,-80.8703,40.32519,4.86,4.43,0.75,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",4715,4385,5110,5540
KOSPI,KCC,002380,기타,408000,121.58,36256.8,50.7,61.9,-2.9,-2959.9708,425.14078,1.07,-1.09,-1.57,7,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",408000,379500,442500,479500
KOSDAQ,동운아나텍,094170,기타,23850,109.25,4987.0,65.2,63.3,20.23,293.3985,129.22483,1.97,11.71,23.58,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",20450,19000,22150,24000
KOSDAQ,엘앤케이바이오,156100,기타,10850,106.07,2282.0,64.9,83.3,14.4,90.8768,50.07328,2.37,15.43,19.63,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",9770,9090,10590,11480
KOSPI,금강공업,014280,기타,5960,103.97,1748.0,65.3,91.3,7.34,52.5262,1.54475,0.76,2.94,14.18,7,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",5720,5320,6200,6720
KOSPI,코오롱인더,120110,기타,39450,94.26,10856.3,60.7,68.3,1.34,11.9837,-227.66569,0.79,-10.24,9.28,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",39450,36700,42750,46350
KOSPI,에스엘,005850,기타,37150,73.31,17255.6,71.8,76.2,5.41,236.5302,61.39283,1.28,7.84,6.75,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",36300,34200,38850,41550
KOSPI,우진,105840,기타,14600,71.88,2948.9,52.2,73.2,0.33,-35.4438,31.04445,0.41,2.89,9.2,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",14600,13580,15830,17160
KOSPI,삼성전기우,009155,기타,106900,59.92,3107.6,54.8,59.1,4.86,-374.8855,547.50524,1.62,12.41,3.99,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 에너지응축(Sqz)",105000,97700,113800,123400
KOSPI,신풍제약,019170,기타,14200,56.33,7523.9,50.4,59.9,0.92,-77.3877,25.73073,0.56,1.57,0.57,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",14200,13210,15390,16680
KOSPI,코오롱,002020,기타,47950,55.71,6054.4,55.4,66.4,1.13,85.4576,-210.37217,0.52,-2.54,2.57,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",47950,44600,52000,56300
KOSPI,삼성전자,005930,기타,99300,16027.31,5878200.5,48.2,60.9,-1.65,-1101.4805,246.35196,0.61,1.53,-4.06,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",99300,92300,107600,116700
KOSDAQ,로킷헬스케어,376900,기타,68100,2528.47,10665.5,74.4,77.3,52.59,2418.1023,236.18786,1.91,35.66,101.18,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",45950,42750,49850,54000
KOSDAQ,디앤디파마텍,347850,기타,100300,1932.71,10888.9,63.7,61.5,25.85,1885.2013,-337.34612,0.67,8.43,42.89,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",82100,76300,89000,96500
KOSDAQ,ISC,095340,기타,102600,1511.53,21748.2,72.7,85.9,25.18,1615.0092,990.21233,4.21,16.46,29.71,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",84400,78500,91500,99200
KOSPI,대덕전자,353200,기타,52900,1352.62,26141.6,63.7,78.2,14.81,-158.1518,111.90467,1.06,4.13,9.07,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",47450,44150,51400,55800
KOSDAQ,쎄크,081180,기타,12640,1262.69,1115.5,76.3,94.7,38.95,424.0046,97.54153,6.08,14.18,58.59,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",9370,8710,10160,11010
KOSPI,HD현대중공업,329180,기타,548000,1034.52,486476.7,55.9,71.3,-3.15,-3623.0315,-1176.57084,0.6,-9.12,2.62,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",548000,510000,594000,644000
KOSDAQ,펩트론,087010,기타,318500,814.68,74265.8,60.6,73.9,7.28,4823.8399,-2608.469,0.78,2.08,19.74,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",306000,284500,331500,359500
KOSPI,롯데에너지머티리얼즈,020150,기타,42750,618.83,22386.2,74.8,83.8,28.92,791.9692,52.38603,1.59,22.49,21.62,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",34150,31750,37000,40150
KOSPI,하나금융지주,086790,기타,90800,597.81,252719.8,56.6,60.9,-0.14,-425.3226,-36.00989,0.57,-0.22,-2.26,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",90800,84400,98400,106700
KOSDAQ,이뮨온시아,424870,기타,7500,597.77,5562.4,74.1,93.2,19.02,152.2789,2.53075,1.16,4.46,42.05,6,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",6490,6040,7040,7630
KOSDAQ,올릭스,226950,기타,126100,509.88,25364.7,55.3,66.5,0.26,-1395.6875,-768.21552,0.35,-9.08,4.47,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",126100,117300,136700,148200
KOSPI,SK바이오팜,326030,기타,129000,423.39,101024.1,65.4,60.3,5.1,4.3601,-41.79312,0.86,1.74,7.95,6,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",126400,117600,137000,148600
KOSPI,SK,034730,기타,249000,399.27,180531.7,54.9,66.2,-3.09,-3017.7795,-410.59806,0.59,-5.5,-7.43,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",249000,231500,270000,292500
KOSPI,대성산업,128820,기타,4705,372.85,2128.3,65.2,87.4,10.92,28.9999,22.51801,11.01,8.91,7.54,6,★,"MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",4370,4065,4735,5130
KOSDAQ,큐리옥스바이오시스템즈,445680,기타,86500,367.51,14779.4,62.0,52.9,16.11,856.7729,562.36833,1.4,18.98,20.31,6,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",76700,71400,83200,90200
KOSPI,HD현대미포,010620,기타,219500,358.81,87673.0,55.1,75.1,-2.38,-1066.4446,-465.62165,0.39,-8.54,4.52,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",219500,204000,238000,258000
KOSPI,S-Oil,010950,기타,80400,351.03,90516.6,57.4,71.5,-0.68,-580.3007,-540.10733,0.91,-6.18,-2.19,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",80400,74800,87200,94500
KOSPI,롯데관광개발,032350,기타,20700,339.02,16464.7,64.3,79.7,7.18,256.2668,-100.41568,1.0,-1.19,9.99,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",19890,18500,21550,23350
KOSDAQ,한국피아이엠,448900,기타,40150,335.82,2410.8,61.0,75.5,13.14,488.5304,-310.43697,0.87,6.22,27.46,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",36550,34000,39600,42950
KOSDAQ,케어젠,214370,기타,83200,331.5,44690.9,80.5,82.6,25.41,1970.5588,476.61115,2.2,25.68,31.23,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",68300,63600,74100,80300
KOSDAQ,인벤티지랩,389470,기타,58900,294.72,7285.4,55.4,68.2,-0.49,-247.177,-734.83222,0.5,-21.26,5.56,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",58900,54800,63800,69200
KOSPI,HD현대,267250,기타,202500,291.28,159961.0,49.8,61.0,-4.94,-4094.8067,-223.86826,0.63,-6.9,-7.74,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",202500,188300,219500,238000
KOSPI,디아이씨,092200,기타,6760,282.96,2628.9,47.3,64.3,8.0,29.4195,-22.62289,0.61,9.56,3.21,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",6450,6000,6990,7570
KOSPI,HD현대인프라코어,042670,기타,14380,266.94,27156.8,55.6,53.5,-0.15,52.953,28.331,1.01,6.2,2.06,6,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), MACD>Sig, 과열X",14380,13370,15590,16900
KOSDAQ,앱클론,174900,기타,35250,248.7,6730.3,78.5,78.8,33.11,693.1678,42.2649,1.69,12.62,43.58,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",27300,25350,29550,32050
KOSPI,삼성화재,000810,기타,473000,236.84,217632.8,51.3,54.5,-0.33,-2621.8432,82.89511,0.52,1.94,-5.59,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 과열X",473000,440000,513000,556000
KOSDAQ,가비아,079940,기타,32650,189.28,4419.4,65.4,79.1,17.16,291.127,351.162,6.91,23.44,21.15,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",28700,26700,31100,33750
KOSDAQ,서부T&D,006730,기타,11850,188.8,7753.1,69.5,81.7,17.55,350.0824,-60.04851,1.48,9.82,32.7,6,★,"거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",10380,9660,11260,12200
KOSPI,키움증권,039490,기타,269000,187.02,71232.9,45.6,47.7,-6.47,-4839.5239,312.63589,0.51,-1.82,-8.03,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",269000,250000,291500,316000
KOSPI,GS,078930,기타,57500,184.78,53426.3,69.9,78.2,4.29,32.4568,-297.66592,0.87,-2.38,1.23,6,★,"20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",56800,52800,61600,66700
KOSPI,한올바이오파마,009420,기타,42650,184.35,22280.6,46.8,63.9,0.55,-261.1426,-172.4518,0.32,-5.54,8.8,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",42650,39650,46250,50100
KOSDAQ,재영솔루텍,049630,기타,1657,184.01,1811.8,56.9,91.0,3.71,-7.6536,-29.10015,0.28,-21.65,11.21,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",1646,1530,1784,1934
KOSDAQ,글로벌텍스프리,204620,기타,6540,183.09,4596.5,77.3,82.9,11.71,122.6935,-17.50385,1.21,9.92,17.84,6,★,"거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",6030,5610,6540,7090
KOSPI,에이플러스에셋,244920,기타,8450,179.36,1910.4,79.7,82.3,26.63,267.1135,10.07833,3.01,10.17,39.67,6,★,"MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",6870,6390,7450,8080
KOSPI,HL만도,204320,기타,41400,178.7,19440.2,70.8,80.4,9.3,381.2764,72.58659,1.25,15.48,10.55,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",39000,36300,42300,45850
KOSPI,기업은행,024110,기타,20150,168.92,160681.3,61.4,61.2,0.93,-20.2258,-12.87962,0.64,0.5,0.25,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",20150,19130,21400,22700
KOSPI,농심,004370,기타,441500,144.78,26854.9,52.5,73.3,-0.06,1664.0563,-1712.53497,0.7,-4.23,3.52,6,★,"RSI적정, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",441500,410500,478500,519000
KOSPI,포스코인터내셔널,047050,기타,52100,133.32,91655.8,47.4,52.1,-2.7,-340.2173,37.57811,0.61,0.19,-1.51,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",52100,48450,56500,61200
KOSPI,현대해상,001450,기타,28900,132.55,25836.6,58.2,53.5,2.34,-44.1282,65.96259,0.84,4.71,0.35,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 과열X",28900,26900,31350,33950
KOSDAQ,코오롱생명과학,102940,기타,46550,125.31,5783.1,83.3,92.3,26.99,1141.6402,100.96883,2.01,14.66,43.67,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",37750,35100,40950,44350
KOSDAQ,우리기술투자,041190,기타,8860,120.97,7442.4,54.4,63.9,1.91,94.6254,17.94918,1.3,12.87,1.14,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 자금유입(MFI), 에너지응축(Sqz), MACD>Sig",8860,8240,9600,10410
KOSPI,신세계,004170,기타,209000,115.65,20158.4,69.5,84.5,3.45,735.5562,-1528.08067,0.8,-5.86,2.45,6,★,"20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",208000,193500,225500,244500
KOSPI,더존비즈온,012510,기타,92200,109.24,28012.9,47.0,39.9,1.24,56.1558,-101.76516,0.38,-0.32,8.34,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, 과열X",92200,85700,99900,108300
KOSPI,코오롱ENP,138490,기타,8060,103.56,3062.8,45.7,26.5,-2.07,-89.4207,11.66567,8.13,3.2,-9.74,6,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 과열X",8060,7500,8740,9470
KOSPI,JB금융지주,175330,기타,23750,102.81,45097.6,56.8,62.6,1.65,-21.9844,14.55597,1.07,1.5,1.28,6,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), 과열X",23750,22100,25750,27900
KOSDAQ,큐리언트,115180,기타,23750,96.52,8511.7,58.4,59.5,1.61,-284.988,-163.8206,1.32,-12.84,9.2,6,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 과열X",23750,22100,25750,27900
KOSDAQ,YTN,040300,기타,3410,82.84,1625.8,62.0,82.9,2.83,-26.4408,-5.02971,0.42,2.4,-9.31,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",3410,3170,3695,4005
KOSPI,F&F,383220,기타,71600,79.8,27427.9,69.7,69.5,4.57,427.9003,-377.32338,0.88,-1.65,-1.38,6,★,"20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",70500,65600,76400,82900
KOSDAQ,한양디지텍,078350,기타,22100,74.69,3369.0,48.8,63.1,-3.66,-463.1067,-5.96333,0.68,-3.07,-0.45,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",22100,20550,23950,25950
KOSDAQ,에스티팜,237690,기타,97800,66.01,20246.2,46.2,62.8,-2.06,-459.4618,-154.39682,0.34,-3.83,0.82,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",97800,91000,106000,114900
KOSPI,한전KPS,051600,기타,51800,61.31,23310.0,59.7,68.9,0.96,-5.609,-14.20294,0.58,2.37,0.19,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",51800,48300,56000,60500
KOSDAQ,쓰리빌리언,394800,기타,10520,59.85,3337.1,56.3,67.1,2.28,-54.2161,-64.56413,0.29,-7.23,5.52,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",10520,9780,11400,12360
KOSPI,현대백화점,069960,기타,89300,53.56,20207.5,59.2,68.1,0.5,-32.2848,-399.78528,0.46,-5.0,1.82,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",89300,83000,96800,104900
KOSDAQ,에스에이엠티,031330,기타,3490,53.49,3489.8,51.9,65.0,-5.62,-50.6149,-5.59067,1.93,-5.55,-12.2,6,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",3490,3245,3785,4100
KOSPI,제일기획,030000,기타,22500,53.22,25884.3,78.9,79.2,4.61,64.2118,-3.50313,0.55,3.69,2.27,6,★,"20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",22150,21000,23500,25000
KOSDAQ,메드팩토,235980,기타,6740,52.89,2310.1,63.5,69.7,10.66,49.5064,-77.04109,0.35,-3.85,1.81,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",6270,5830,6800,7370
KOSDAQ,셀바스헬스케어,208370,기타,4355,52.11,1121.0,60.8,82.0,5.8,15.7371,-22.57642,0.95,-16.09,5.7,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",4240,3945,4595,4980
