시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,한화에어로스페이스,012450,"항공기,우주선 및 부품 제조업",923000,1449.79,475930.2,51.0,51.2,3.28,12391.4851,345.88764,0.71,6.58,5.97,-4.55,24.75,-29.3,3,,"RSI적정, MACD상승, 20선근접, MACD>Sig",921000,856000,998000,1082000,"항공기,우주선 및 부품 제조업",기타,1.1846153846153846,0.21715526601520088,83.9,79.2,🔻 REV (역추세 반등),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251210,20251210,24.75,12.24,-4.55,24.75,-29.3
KOSDAQ,하나마이크론,067310,반도체 제조업,25250,434.19,16760.5,52.5,66.4,1.08,-18.3909,23.63708,1.0,-0.59,4.77,49.41,12.24,37.17,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",25250,23500,27900,30550,반도체 제조업,반도체,1.5142857142857142,0.0,83.3,84.1,↩️ PULL (눌림),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,49.41,12.24,37.17
KOSPI,한국항공우주,047810,"항공기,우주선 및 부품 제조업",109100,509.45,106345.3,53.8,48.2,1.45,13.2326,40.89645,0.74,1.68,-1.09,12.71,24.75,-12.04,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",109100,101500,120600,132000,"항공기,우주선 및 부품 제조업",기타,1.513157894736842,0.0,82.8,82.2,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,12.71,24.75,-12.04
KOSDAQ,원익IPS,240810,특수 목적용 기계 제조업,63100,311.41,30971.9,57.6,65.5,1.89,-151.784,138.65437,1.01,1.94,2.94,40.53,12.24,28.29,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",63100,58700,69700,76400,특수 목적용 기계 제조업,조선·기계·설비,1.5,0.0,82.5,86.3,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,40.53,12.24,28.29
KOSPI,SK스퀘어,402340,기타 금융업,324000,1427.88,429432.4,63.6,67.6,7.89,1083.6531,210.5093,0.68,4.35,11.34,85.89,24.75,61.14,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",309500,287500,342000,374500,기타 금융업,금융,1.4772727272727273,4.68497576736672,82.0,71.8,🔼 BRK (돌파),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요. (매수 유효),20251210,20251210,24.75,12.24,85.89,24.75,61.14
KOSPI,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1945000,601.87,181362.5,45.2,50.8,-1.71,-11559.6667,2772.93839,0.55,2.64,-0.77,39.63,24.75,14.88,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",1945000,1809000,2108000,2285000,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.1985294117647058,0.0,81.5,83.2,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,39.63,24.75,14.88
KOSPI,엘앤에프,066970,일차전지 및 이차전지 제조업,127100,1118.83,50407.8,49.4,48.7,0.69,-377.6089,-129.99202,1.45,0.16,2.42,100.47,24.75,75.72,5,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",127100,118200,137800,149300,일차전지 및 이차전지 제조업,2차전지,1.202247191011236,0.0,81.4,79.0,↩️ PULL (눌림),② 상승 후 조정,✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,100.47,24.75,75.72
KOSPI,DB하이텍,000990,반도체 제조업,66200,308.72,28800.0,49.4,63.8,1.82,-98.3414,66.35576,0.88,0.91,6.95,31.35,24.75,6.6,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",66200,61600,73200,80100,반도체 제조업,반도체,1.5217391304347827,0.0,80.8,83.8,🔺 Watch (상승 준비),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,31.35,24.75,6.6
KOSPI,에이피알,278470,기타 화학제품 제조업,252000,812.88,94325.3,58.1,70.3,3.62,1308.4,-781.25713,0.54,2.86,0.8,10.77,24.75,-13.98,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",250500,233000,277000,303000,기타 화학제품 제조업,화학·소재,1.5142857142857142,0.5988023952095809,80.5,76.8,🔺 Watch (상승 준비),⑤ 하락 / 약세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다.  (매수 유효),20251210,20251210,24.75,12.24,10.77,24.75,-13.98
KOSPI,SK이노베이션,096770,석유 정제품 제조업,116600,279.9,197115.6,49.4,41.2,0.09,135.3271,80.94925,1.02,0.6,-0.51,9.48,24.75,-15.27,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",116600,109500,127200,137800,석유 정제품 제조업,기타,1.4929577464788732,0.0,80.2,82.6,🔺 Watch (상승 준비),④ 바닥 반등 시도,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251210,20251210,24.75,12.24,9.48,24.75,-15.27
KOSPI,SK하이닉스,000660,반도체 제조업,587000,23356.34,4273373.9,54.0,55.0,5.74,-199.3396,2055.12784,0.99,6.34,12.02,93.09,24.75,68.34,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",572000,532000,620000,672000,반도체 제조업,반도체,1.2,2.6223776223776225,80.0,75.3,🔼 BRK (돌파),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요. (매수 유효),20251210,20251210,24.75,12.24,93.09,24.75,68.34
KOSPI,SKC,011790,기타 화학제품 제조업,113900,208.4,43132.0,52.3,58.1,2.06,261.834,177.08638,1.06,2.06,2.8,15.4,24.75,-9.35,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",113900,107600,123400,132900,기타 화학제품 제조업,화학·소재,1.507936507936508,0.0,79.8,84.9,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251210,20251210,24.75,12.24,15.4,24.75,-9.35
KOSPI,한화오션,042660,선박 및 보트 건조업,112500,1209.02,344715.1,33.6,31.8,-3.27,13.9679,256.23716,0.73,3.97,-1.23,1.63,24.75,-23.12,3,,"MACD상승, 장기추세(120↑), MACD>Sig",112500,104600,122000,132200,선박 및 보트 건조업,조선·기계·설비,1.2025316455696202,0.0,79.6,77.2,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251210,20251210,24.75,12.24,1.63,24.75,-23.12
KOSPI,두산에너빌리티,034020,일반 목적용 기계 제조업,76800,1920.79,491951.0,48.0,51.3,-0.05,50.7401,-42.37392,0.63,-2.04,-1.16,22.68,24.75,-2.07,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",76800,71400,83300,90200,일반 목적용 기계 제조업,조선·기계·설비,1.2037037037037037,0.0,79.2,75.0,🔁 MR (반전),③ 박스 / 중립,✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,22.68,24.75,-2.07
KOSDAQ,휴림로봇,090710,특수 목적용 기계 제조업,5690,568.38,6797.1,60.3,73.2,6.31,33.5437,2.62525,1.09,1.43,14.26,89.98,12.24,77.74,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5510,5130,6090,6670,특수 목적용 기계 제조업,조선·기계·설비,1.5263157894736843,3.2667876588021776,79.1,74.6,🔺 Watch (상승 준비),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251210,20251210,24.75,12.24,89.98,12.24,77.74
KOSPI,한국전력,015760,전기업,49800,1729.75,319698.1,52.9,35.8,-0.78,-365.7322,-119.67793,0.66,-2.35,-5.68,28.68,24.75,3.93,4,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",49800,46300,54000,58500,전기업,기타,1.2,0.0,78.9,75.1,🔁 MR (반전),③ 박스 / 중립,✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,28.68,24.75,3.93
KOSDAQ,디앤디파마텍,347850,자연과학 및 공학 연구개발업,87300,1446.09,37910.3,48.9,46.6,-5.67,-2719.2651,-54.59065,0.98,-9.53,-11.46,114.29,12.24,102.05,3,,"RSI적정, 정배열(단), 장기추세(120↑)",87300,81200,94600,102600,자연과학 및 공학 연구개발업,기타,1.1967213114754098,0.0,78.6,76.0,🔁 MR (반전),② 상승 후 조정,📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251210,20251210,24.75,12.24,114.29,12.24,102.05
KOSPI,대한유화,006650,기초 화학물질 제조업,148300,95.27,9639.5,51.4,38.8,2.38,-705.3385,409.41233,1.43,0.41,-1.53,19.4,24.75,-5.35,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",148300,137900,163900,179400,기초 화학물질 제조업,화학·소재,1.5,0.0,78.6,86.2,🔺 Watch (상승 준비),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251210,20251210,24.75,12.24,19.4,24.75,-5.35
KOSPI,산일전기,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",148400,278.65,45180.7,57.1,78.3,4.06,547.809,11.47298,0.54,0.41,6.76,31.79,24.75,7.04,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",146900,136600,162300,177700,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.4951456310679612,1.0211027910142956,78.1,79.3,🔺 Watch (상승 준비),⑤ 하락 / 약세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251210,20251210,24.75,12.24,31.79,24.75,7.04
KOSDAQ,심텍,222800,전자부품 제조업,54900,403.02,20311.4,51.7,65.1,2.21,4.6791,-11.14894,0.72,-4.02,2.43,91.62,12.24,79.38,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",54900,51100,60700,66400,전자부품 제조업,IT/전기전자,1.5263157894736843,0.0,77.4,82.7,🔁 MR (반전),② 상승 후 조정,💸 자금 유입이 꾸준히 이어지고 있습니다. ,20251210,20251210,24.75,12.24,91.62,12.24,79.38
KOSPI,한온시스템,018880,일반 목적용 기계 제조업,3710,165.41,25182.1,58.1,55.9,0.22,-8.2113,2.42937,1.42,0.54,-0.27,14.86,24.75,-9.89,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",3710,3450,4100,4490,일반 목적용 기계 제조업,조선·기계·설비,1.5,0.0,77.4,81.2,🔺 Watch (상승 준비),④ 바닥 반등 시도,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,14.86,24.75,-9.89
KOSPI,두산,000150,기타 금융업,884000,623.17,143153.5,44.6,32.3,-0.94,-5376.6763,273.24241,0.57,-1.34,3.51,37.27,24.75,12.52,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",884000,822000,958000,1039000,기타 금융업,금융,1.1935483870967742,0.0,76.9,80.7,↩️ PULL (눌림),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,37.27,24.75,12.52
KOSDAQ,켐트로닉스,089010,기타 화학제품 제조업,31600,219.37,5163.2,62.2,75.0,4.57,287.4531,4.38695,1.09,-0.78,9.15,11.86,12.24,-0.38,6,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig",31150,28950,34400,37650,기타 화학제품 제조업,화학·소재,1.4772727272727273,1.4446227929373996,76.9,77.5,🔺 Watch (상승 준비),③ 박스 / 중립,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251210,20251210,24.75,12.24,11.86,12.24,-0.38
KOSDAQ,삼영엠텍,054540,"구조용 금속제품, 탱크 및 증기발생기 제조업",15060,92.67,1957.8,46.7,76.5,0.25,70.0961,29.53503,0.22,1.28,8.89,-5.46,12.24,-17.7,6,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig",15060,14010,16640,18220,"구조용 금속제품, 탱크 및 증기발생기 제조업",기타,1.5047619047619047,0.0,76.2,82.7,🔺 Watch (상승 준비),④ 바닥 반등 시도,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,-5.46,12.24,-17.7
KOSPI,HJ중공업,097230,토목 건설업,22450,164.22,20271.3,57.1,70.5,3.12,315.0982,1.91979,0.41,0.22,7.67,-32.18,24.75,-56.93,6,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig",22400,20850,24800,27150,토목 건설업,건설·부동산,1.5483870967741935,0.2232142857142857,76.0,81.2,🔺 Watch (상승 준비),④ 바닥 반등 시도,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251210,20251210,24.75,12.24,-32.18,24.75,-56.93
KOSPI,KB금융,105560,기타 금융업,124500,942.16,474920.3,56.4,67.5,-1.16,-325.3967,-280.43392,0.76,-5.47,-0.16,5.87,24.75,-18.88,4,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI)",124500,117100,133400,143000,기타 금융업,금융,1.2027027027027026,0.0,75.9,72.6,🔁 MR (반전),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,5.87,24.75,-18.88
KOSPI,SK,034730,기타 금융업,265000,363.33,192132.2,51.0,66.4,1.64,53.1577,-270.63288,0.63,-0.75,5.58,19.1,24.75,-5.65,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",265000,246500,293000,320500,기타 금융업,금융,1.5135135135135136,0.0,75.6,79.0,↩️ PULL (눌림),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,19.1,24.75,-5.65
KOSPI,삼성화재,000810,보험업,491000,349.07,225914.8,60.2,63.0,0.8,195.0519,-1031.85616,0.87,-0.51,1.03,4.03,24.75,-20.72,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",491000,457500,541000,591000,보험업,금융,1.492537313432836,0.0,75.6,78.4,↩️ PULL (눌림),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,4.03,24.75,-20.72
KOSPI,우리금융지주,316140,기타 금융업,27550,392.58,202238.0,63.4,68.9,2.09,90.6348,-69.4906,0.74,-3.33,5.35,6.99,24.75,-17.76,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",27550,26000,29900,32200,기타 금융업,금융,1.5161290322580645,0.0,75.4,78.4,🔁 MR (반전),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. ,20251210,20251210,24.75,12.24,6.99,24.75,-17.76
KOSPI,이수화학,005950,기초 화학물질 제조업,10120,102.73,2661.0,53.2,79.0,5.26,6.8854,31.15744,0.74,8.24,10.6,80.71,24.75,55.96,6,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",9900,9210,10940,11980,기초 화학물질 제조업,화학·소재,1.5072463768115942,2.2222222222222223,75.4,78.6,🔼 BRK (돌파),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251210,20251210,24.75,12.24,80.71,24.75,55.96
KOSPI,HD현대,267250,기타 금융업,207000,240.26,163515.7,45.2,41.9,-0.02,-375.8936,38.68911,0.63,3.24,1.47,39.3,24.75,14.55,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",207000,192500,224500,243000,기타 금융업,금융,1.206896551724138,0.0,75.3,79.5,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,39.3,24.75,14.55
KOSDAQ,알테오젠,196170,자연과학 및 공학 연구개발업,456500,1536.31,244253.9,17.3,20.1,-12.22,-11602.8678,27.75279,0.68,-12.55,-11.87,-6.07,12.24,-18.31,1,,"MACD상승, 정배열(단)",456500,424500,495000,536000,자연과학 및 공학 연구개발업,기타,1.203125,0.0,74.9,72.9,↩️ PULL (눌림),④ 바닥 반등 시도,📈 상승 추세가 견고하게 유지되고 있습니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251210,20251210,24.75,12.24,-6.07,12.24,-18.31
KOSPI,카카오,035720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",59200,1416.22,261891.4,50.4,56.2,-1.23,143.1583,-128.19026,0.99,-2.31,-2.95,-1.17,24.75,-25.92,1,,"RSI적정, MACD>Sig",59200,55900,63200,67600,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷/플랫폼·게임,1.2121212121212122,0.0,74.6,69.3,🔁 MR (반전),⑤ 하락 / 약세,✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251210,20251210,24.75,12.24,-1.17,24.75,-25.92
KOSPI,HD현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",849000,684.99,306040.2,55.4,56.5,5.42,3277.4295,1162.29854,0.53,3.54,6.52,51.61,24.75,26.86,5,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), MACD>Sig",830000,771000,899000,975000,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.1694915254237288,2.289156626506024,74.6,73.7,🔼 BRK (돌파),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251210,20251210,24.75,12.24,51.61,24.75,26.86
