시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,한화,000880,94100,469.69,70536.2,52.8,2.02,-761.2902,212.12982,1.2,-3.78,-12.22,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",93160,96850,100540,89470
KOSPI,S-Oil,010950,79000,456.08,88940.4,71.2,9.55,195.784,164.28308,1.37,9.27,6.61,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",72830,75720,78600,69950
KOSPI,한국항공우주,047810,101200,428.8,98644.8,51.0,-0.19,-538.2673,78.71144,0.7,-7.07,-3.34,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",101200,104050,106890,98350
KOSPI,코웨이,021240,91400,354.52,65724.9,42.4,-0.66,233.9167,142.25012,1.3,1.67,-1.51,5,초입,"MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",91400,93550,95700,89250
KOSPI,메리츠금융지주,138040,118200,351.69,207112.1,54.1,3.9,789.7559,219.29079,1.15,8.04,3.68,5,초입,"RSI 45~65, MACD상승, MA20 근처, MACD>sig, 과열아님",114900,119450,124000,110350
KOSPI,엔씨소프트,036570,227000,325.6,48904.9,71.7,6.45,1174.8435,369.49364,1.22,1.11,6.57,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",215380,223910,232440,206850
KOSDAQ,아이티센글로벌,124500,21500,311.08,4989.0,63.5,9.41,55.3443,135.12162,1.48,11.75,5.91,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig",19850,20630,21420,19060
KOSDAQ,리노공업,058470,56900,234.5,43364.5,50.3,-0.87,-489.0357,38.18557,0.71,-1.9,-0.7,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",56900,58120,59340,55680
KOSPI,롯데관광개발,032350,19010,232.15,15120.5,48.7,3.43,-67.6016,86.67246,1.13,4.05,0.64,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",18560,19300,20030,17830
KOSDAQ,차바이오텍,085660,13320,195.36,10180.0,66.9,10.8,64.2581,42.77984,2.48,4.31,0.6,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",12140,12620,13100,11660
KOSDAQ,ISC,095340,79700,187.74,16894.1,55.2,0.41,-595.8164,159.76054,1.1,-1.12,-0.38,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",79700,82410,85110,76990
KOSDAQ,위메이드,112040,27700,184.48,9403.7,51.8,1.12,-40.6154,78.51733,4.98,1.84,-1.6,5,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 과열아님",27670,28760,29860,26570
KOSPI,넷마블,251270,54300,168.29,46672.8,48.5,-1.21,7.8027,82.40243,1.37,-2.86,-1.63,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",54300,55280,56270,53320
KOSPI,효성,004800,145700,159.36,24390.8,71.1,22.03,1649.3964,149.79404,1.23,-10.28,21.82,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",120590,125360,130140,115810
KOSPI,제일기획,030000,21800,155.49,25079.0,72.0,6.29,113.9393,54.59797,1.6,6.08,6.86,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",20720,21480,22240,19950
KOSDAQ,한양디지텍,078350,21300,133.77,3247.1,58.3,-0.36,-301.2407,-139.37953,1.72,-4.48,-0.47,5,초입,"RSI 45~65, MA20 근처, 거래량증가, 상승구조, 과열아님",21300,21860,22430,20740
KOSPI,JB금융지주,175330,23900,132.65,45692.8,61.3,5.19,170.987,49.22491,1.51,5.99,7.9,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",22950,23860,24760,22040
KOSDAQ,티움바이오,321550,7660,127.93,2079.3,62.3,12.06,155.138,-75.10291,3.45,5.95,20.44,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",6900,7180,7450,6630
KOSPI,롯데케미칼,011170,73700,123.54,31525.5,54.2,2.16,-430.3773,232.97305,0.97,3.08,-0.41,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",72870,75750,78640,69980
KOSDAQ,HK이노엔,195940,50500,123.54,14306.6,57.4,3.12,91.0135,-20.06059,0.92,0.8,1.3,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",49460,51420,53380,47500
KOSPI,iM금융지주,139130,14190,116.16,22995.6,62.0,4.55,70.7625,36.51418,1.23,6.29,4.34,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",13710,14250,14790,13170
KOSPI,한국가스공사,036460,42550,105.4,39279.2,60.9,2.24,-44.0249,35.62749,0.81,0.83,-0.58,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",42030,43700,45360,40370
KOSPI,맥쿼리인프라,088980,11290,101.92,54070.3,45.5,0.37,19.3884,8.98144,0.57,2.73,1.35,5,초입,"RSI 45~65, MACD상승, MA20 근처, MACD>sig, 과열아님",11290,11490,11680,11090
KOSPI,오리온,271560,103400,101.4,40880.4,63.4,2.04,507.9983,68.44677,0.79,3.61,1.37,5,초입,"RSI 45~65, MACD상승, MA20 근처, MACD>sig, 과열아님",102340,105270,108190,99420
KOSDAQ,앱클론,174900,23500,99.84,4486.8,74.8,16.9,102.8646,62.64019,1.74,3.98,31.65,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",20300,21110,21910,19500
KOSPI,대신증권,003540,28800,97.38,14622.7,55.3,2.12,-57.1264,25.61401,1.01,-3.68,0.0,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",28480,29610,30740,27360
KOSPI,농심,004370,434500,96.51,26429.1,52.5,0.53,-381.3719,386.2166,0.66,1.05,0.35,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",434500,449770,465030,419230
KOSPI,금호석유화학,011780,114500,93.59,29806.3,55.4,0.25,-435.5472,26.3585,0.89,-1.21,-3.29,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",114500,118220,121930,110780
KOSPI,롯데쇼핑,023530,70200,92.11,19858.7,62.2,5.31,305.4375,305.54074,1.71,9.01,4.15,5,초입,"RSI 45~65, MACD상승, 거래량증가, MACD>sig, 과열아님",67330,69990,72660,64660
KOSPI,이마트,139480,74700,84.93,20614.1,55.7,1.85,176.6891,174.32592,0.81,4.04,0.54,5,초입,"RSI 45~65, MACD상승, MA20 근처, MACD>sig, 과열아님",74070,76900,79730,71240
KOSDAQ,셀트리온제약,068760,62300,80.68,27212.1,61.2,3.32,4.4933,-194.14167,0.55,-3.56,0.16,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",60900,63320,65730,58490
KOSDAQ,한국비엔씨,256840,5250,79.2,3590.7,56.3,2.6,14.5068,-12.6022,0.58,2.54,-1.5,5,초입,"RSI 45~65, MA20 근처, 상승구조, MACD>sig, 과열아님",5170,5370,5580,4960
