시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,RR1,Now%,LDY_SCORE,ROUTE,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,SK스퀘어,402340,기타,302000,1155.16,400273.4,,53.3,1.33,-462.9739,-539.08605,0.64,1.34,13.53,97.64,27.92,69.72,3,,"20선근접, 정배열(단), 장기추세(120↑)",302000,281000,327500,355000,1.2142857142857142,0.0,77.7,↩️ PULL (눌림),✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,97.64,27.92,69.72
KOSPI,한화오션,042660,기타,108500,822.82,332458.5,,19.9,-8.33,-1589.3063,431.84379,0.51,0.65,-9.43,-3.56,27.92,-31.48,3,,"MACD상승, 정배열(단), 장기추세(120↑)",108500,100900,117600,127500,1.1973684210526316,0.0,77.0,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251205,20251205,27.92,13.97,-3.56,27.92,-31.48
KOSDAQ,이오테크닉스,039030,기타,285000,232.55,35110.7,,64.2,4.72,997.5253,701.05369,0.75,10.89,14.92,42.64,13.97,28.67,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",280500,260500,309500,339000,1.45,1.6042780748663104,77.0,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251205,20251205,27.92,13.97,42.64,13.97,28.67
KOSPI,한국전력,015760,전기가스업,52200,1790.73,335105.2,,50.0,4.93,-148.6558,41.59863,0.55,-0.57,8.41,42.04,27.92,14.12,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",51200,47650,55500,60200,1.2112676056338028,1.953125,76.8,🔺 Watch (상승 준비),📈 상승 추세가 견고하게 유지되고 있습니다. ,20251205,20251205,27.92,13.97,42.04,27.92,14.12
KOSDAQ,티로보틱스,117730,기타,16850,194.46,3640.5,,68.0,3.91,67.3102,0.33827,1.02,0.48,15.02,50.45,13.97,36.48,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",16700,15530,18460,20200,1.5042735042735043,0.8982035928143712,76.8,🔺 Watch (상승 준비),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251205,20251205,27.92,13.97,50.45,13.97,36.48
KOSPI,대덕전자,353200,기타,48200,653.23,23819.0,,52.5,-2.56,-945.0863,23.05176,0.75,-2.03,1.8,105.98,27.92,78.06,3,,"MACD상승, 정배열(단), 장기추세(120↑)",48200,44850,52200,56600,1.1940298507462686,0.0,76.5,↩️ PULL (눌림),📈 상승 추세가 견고하게 유지되고 있습니다. ,20251205,20251205,27.92,13.97,105.98,27.92,78.06
KOSDAQ,제닉스로보틱스,381620,기타,15710,135.78,2060.8,,63.5,2.67,50.0691,2.89673,0.42,-2.6,12.94,60.96,13.97,46.99,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",15710,14610,17360,19010,1.5,0.0,76.4,↩️ PULL (눌림),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251205,20251205,27.92,13.97,60.96,13.97,46.99
KOSPI,HD현대중공업,329180,운수장비,534000,642.58,474048.4,,57.9,-3.37,-4718.7422,1051.426,0.38,-0.19,-3.78,4.09,27.92,-23.83,3,,"MACD상승, 정배열(단), 장기추세(120↑)",534000,496500,579000,627000,1.2,0.0,76.2,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251205,20251205,27.92,13.97,4.09,27.92,-23.83
KOSPI,POSCO홀딩스,005490,철강금속,311000,702.43,251701.5,,43.5,-0.01,-985.2755,272.8635,0.73,0.48,0.16,12.48,27.92,-15.44,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",311000,292500,333500,357500,1.2162162162162162,0.0,76.0,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,12.48,27.92,-15.44
KOSDAQ,다날,064260,기타,6800,1499.32,5104.9,,84.8,-0.18,93.7207,0.22236,7.27,-1.88,3.34,-19.43,13.97,-33.4,4,★,"MACD상승, 20선근접, 거래량↑, 자금유입(MFI), MACD>Sig",6800,6320,7370,7990,1.1875,0.0,75.9,↩️ PULL (눌림),💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,-19.43,13.97,-33.4
