시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,한국항공우주,047810,"항공기,우주선 및 부품 제조업",110000,482.26,107222.6,,35.7,2.89,-97.5239,222.32806,0.69,2.8,5.87,13.29,29.05,-15.76,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",110000,102300,119200,129200,"항공기,우주선 및 부품 제조업",기타,1.1948051948051948,0.0,75.7,78.2,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251208,20251208,29.05,13.34,13.29,29.05,-15.76
KOSPI,포스코인터내셔널,047050,상품 중개업,55200,168.75,97109.4,,68.5,3.1,199.5222,11.02181,1.07,3.56,7.81,13.58,29.05,-15.47,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",55100,51700,60300,65400,상품 중개업,기타,1.5294117647058822,0.18148820326678766,75.5,78.2,🔼 BRK (돌파),④ 바닥 반등 시도,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251208,20251208,29.05,13.34,13.58,29.05,-15.47
KOSPI,KB금융,105560,기타 금융업,127900,1174.14,487890.0,,66.7,0.94,223.5631,-186.1777,0.89,1.27,6.32,19.87,29.05,-9.18,5,★,"20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",127900,120300,137000,146900,기타 금융업,금융,1.1973684210526316,0.0,75.4,70.3,↩️ PULL (눌림),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,19.87,29.05,-9.18
KOSPI,금호석유화학,011780,기초 화학물질 제조업,121500,120.29,31628.6,,52.7,3.08,239.0558,134.27386,1.24,4.2,7.14,11.57,29.05,-17.48,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",121400,114500,131700,142100,기초 화학물질 제조업,화학·소재,1.4927536231884058,0.08237232289950577,75.4,79.9,🔻 REV (역추세 반등),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251208,20251208,29.05,13.34,11.57,29.05,-17.48
KOSPI,한화시스템,272210,전자부품 제조업,48350,484.76,91342.5,,31.4,-1.27,156.2883,200.32856,1.01,6.62,2.0,-6.84,29.05,-35.89,1,,"MACD상승, MACD>Sig",48350,44950,52400,56800,전자부품 제조업,IT/전기전자,1.1911764705882353,0.0,75.2,74.9,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,-6.84,29.05,-35.89
KOSPI,HD현대,267250,기타 금융업,207500,237.31,163910.7,,40.4,-0.32,-1247.2496,554.92526,0.62,10.2,3.49,44.8,29.05,15.75,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",207500,193000,225000,244000,기타 금융업,금융,1.206896551724138,0.0,75.2,81.0,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,44.8,29.05,15.75
KOSDAQ,디앤디파마텍,347850,자연과학 및 공학 연구개발업,83000,3100.98,36043.0,,44.8,-8.98,-2236.1541,-928.66947,2.0,-10.94,-24.55,99.68,13.34,86.34,3,,"거래량↑, 정배열(단), 장기추세(120↑)",83000,77200,90000,97500,자연과학 및 공학 연구개발업,기타,1.206896551724138,0.0,75.0,73.6,🔁 MR (반전),② 상승 후 조정,📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251208,20251208,29.05,13.34,99.68,13.34,86.34
KOSPI,두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",32400,482.34,21220.0,,53.2,-0.69,139.1738,16.76687,1.59,3.51,9.64,28.83,29.05,-0.22,5,★,"MACD상승, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig",32400,30150,35100,38050,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.2,0.0,74.9,75.7,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,28.83,29.05,-0.22
KOSPI,삼성전자우,005935,전기전자,80500,1285.12,656859.6,,75.0,5.04,395.3914,93.82056,0.64,5.5,10.88,40.0,29.05,10.95,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",78900,74000,84800,91300,전기전자,기타,1.2040816326530612,2.027883396704689,74.4,66.4,🔼 BRK (돌파),⑤ 하락 / 약세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251208,20251208,29.05,13.34,40.0,29.05,10.95
KOSPI,한국전력,015760,전기업,51700,1354.01,331895.4,,40.4,3.36,-166.5934,-17.93764,0.43,3.19,7.26,37.5,29.05,8.45,3,,"20선근접, 정배열(단), 장기추세(120↑)",51500,47900,55800,60500,전기업,기타,1.1944444444444444,0.3883495145631068,74.2,68.5,↩️ PULL (눌림),② 상승 후 조정,특이사항 없음. 기술적 지표를 참고하세요.,20251208,20251208,29.05,13.34,37.5,29.05,8.45
KOSPI,LS,006260,기타 금융업,188200,173.34,59659.4,,46.0,-0.4,240.2575,578.19079,0.53,8.22,5.02,6.09,29.05,-22.96,4,★,"MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",188200,175000,204000,221000,기타 금융업,금융,1.196969696969697,0.0,73.8,80.2,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,6.09,29.05,-22.96
KOSDAQ,티엘비,356860,전자부품 제조업,67600,148.97,6646.9,,72.3,0.4,-391.8079,138.19147,0.4,1.65,5.13,123.47,13.34,110.13,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",67600,62900,73300,79400,전자부품 제조업,IT/전기전자,1.2127659574468086,0.0,73.7,81.3,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251208,20251208,29.05,13.34,123.47,13.34,110.13
KOSDAQ,대주전자재료,078600,전자부품 제조업,76500,126.48,11842.7,,54.3,3.99,392.0851,92.97066,1.69,1.19,11.84,11.52,13.34,-1.82,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",75800,71000,83000,90200,전자부품 제조업,IT/전기전자,1.5,0.9234828496042217,73.7,77.4,🔺 Watch (상승 준비),③ 박스 / 중립,📈 상승 추세가 견고하게 유지되고 있습니다. ,20251208,20251208,29.05,13.34,11.52,13.34,-1.82
KOSDAQ,휴림로봇,090710,특수 목적용 기계 제조업,5770,678.81,6892.7,,70.1,7.56,25.8032,20.76583,1.2,9.07,17.52,115.3,13.34,101.96,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5530,5140,6110,6690,특수 목적용 기계 제조업,조선·기계·설비,1.4871794871794872,4.3399638336347195,73.6,66.5,🔼 BRK (돌파),⑤ 하락 / 약세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251208,20251208,29.05,13.34,115.3,13.34,101.96
KOSDAQ,알테오젠,196170,자연과학 및 공학 연구개발업,458000,2666.48,245056.5,,25.0,-13.13,-10807.774,-2017.91711,1.11,-15.5,-13.09,-4.18,13.34,-17.52,0,,정배열(단),458000,426000,496500,538000,자연과학 및 공학 연구개발업,기타,1.203125,0.0,73.5,69.5,🔁 MR (반전),⑤ 하락 / 약세,📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251208,20251208,29.05,13.34,-4.18,13.34,-17.52
KOSPI,SK스퀘어,402340,기타 금융업,322000,1623.35,426781.6,,61.6,7.46,396.14,859.11389,0.86,6.62,16.67,109.64,29.05,80.59,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",308500,287000,334500,362500,기타 금융업,금융,1.2093023255813953,4.376012965964344,73.5,64.8,🔼 BRK (돌파),⑤ 하락 / 약세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251208,20251208,29.05,13.34,109.64,29.05,80.59
KOSPI,에코프로머티,450080,일차전지 및 이차전지 제조업,63100,528.58,44127.4,,71.4,6.18,373.1567,248.71828,2.79,4.82,17.72,27.73,29.05,-1.32,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",61200,56900,67600,74100,일차전지 및 이차전지 제조업,2차전지,1.4883720930232558,3.104575163398693,72.8,71.4,🔼 BRK (돌파),③ 박스 / 중립,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251208,20251208,29.05,13.34,27.73,29.05,-1.32
