시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,BLOCK_REASON
KOSPI,퍼스텍,010820,무기 및 총포탄 제조업,7320,343.55,3570.1,34354816975.0,89.4,95.8,45.33,74.2,0,1,0,0.69,46.55,60.18,68.28,89.64,66.74,47.74,,,0.0,0.0,1,50.92,12.0,1.41,0,0,4.26,0.82,5290.0,5020.0,6100.0,6240.0,v1_sl_first_gap_at_open,5.1,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,5395.0,6565,11.49,0.899,1.14,2.53,False,O,▲,6135,▲,O,X,0,0,0,0.0,무기 및 총포탄 제조업,기타,11.653740458015266,11.101374045801526,7.0,88.6,65.0294371871448,65.0294371871448,6,1,61.1,68.3,88.6,68.4,68.4,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,BNK금융지주,138930,기타 금융업,21800,292.66,67651.3,29265735321.0,86.1,83.3,15.41,52.63,0,0,0,-3.11,1.63,22.4,39.12,47.2,52.45,18.58,,,0.048,0.048,1,41.13,9.4,10.68,1,0,1.53,0.83,19830.0,19040.0,22200.0,22600.0,v1_sl_first_gap_at_open,3.98,4.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,19360.0,22261,-2.07,-0.1732,0.93,-0.94,False,O,▲,22971,▲,X,X,0,0,0,0.0,기타 금융업,금융,9.20217391304348,15.306304347826087,4.0,60.3,45.48893108861898,45.48893108861898,4,1,81.2,48.6,60.3,68.9,68.9,[RSI극단: RSI 85+ 극단과열]
KOSPI,삼성E&A,028050,"건축기술, 엔지니어링 및 관련 기술 서비스업",36500,282.87,71540.0,28287086500.0,89.0,71.0,12.58,28.96,0,0,0,2.24,7.99,15.32,46.88,43.98,26.3,26.34,,,0.0,0.0,1,31.46,7.9,23.25,1,0,1.48,0.92,36500.0,35000.0,41000.0,41750.0,v1_sl_first_gap_at_open,4.11,4.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,32045.0,35473,2.89,0.0206,0.56,0.07,False,O,▲,35629,▲,O,X,0,0,0,0.0,"건축기술, 엔지니어링 및 관련 기술 서비스업",서비스 기타,14.963333333333335,25.119999999999997,2.0,46.7,37.082772798577146,37.082772798577146,6,1,84.7,45.2,46.7,67.2,67.2,[RSI극단: RSI 85+ 극단과열]
KOSPI,애경산업,018250,기타 화학제품 제조업,18000,284.66,4753.8,28465864105.0,94.7,89.4,31.47,41.4,0,0,0,12.64,27.57,35.03,40.19,32.65,10.23,19.65,,,0.194,0.194,0,-0.5,8.0,3.39,1,0,0.36,0.84,14380.0,13650.0,16570.0,16940.0,v1_sl_first_gap_at_open,5.08,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(14.3%)/급등(12.6%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,15662.0,17182,4.76,0.3955,9.42,-1.14,False,O,▲,15437,▲,O,X,0,0,0,0.0,기타 화학제품 제조업,화학·소재,3.7831914893617022,1.6378723404255318,11.0,70.1,34.0,34.0,4,1,67.6,16.3,70.1,55.3,55.3,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,나노엔텍,039860,의료용 기기 제조업,7670,278.89,2921.7,27889048635.0,77.9,82.5,50.93,53.86,0,0,0,30.0,62.67,63.71,47.5,153.14,116.06,27.44,,,0.0,0.0,1,74.16,10.4,-5.56,0,0,6.4,1.0,5340.0,5060.0,6180.0,6320.0,v1_sl_first_gap_at_open,5.24,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(8.1%)/급등(30.0%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,5579.5,5922,29.51,0.8143,3.86,4.48,False,O,▲,5115,▲,O,X,0,0,0,0.0,의료용 기기 제조업,기타,11.653740458015266,11.101374045801526,7.0,92.2,70.0,70.0,4,1,45.0,73.8,92.2,61.6,61.6,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,SGC에너지,005090,전기업,47050,230.57,6779.6,23056805875.0,91.6,81.5,55.51,125.07,0,0,0,6.81,34.62,65.96,123.52,104.12,101.93,102.98,,,0.086,0.086,1,107.22,12.0,23.92,1,0,2.39,0.73,31750.0,30150.0,36550.0,37350.0,v1_sl_first_gap_at_open,5.04,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,33625.0,44230,6.37,0.2251,2.43,1.76,False,O,▲,45335,▲,O,X,0,0,0,0.0,전기업,기타,11.653740458015266,11.101374045801526,7.0,94.8,48.51201827275328,48.51201827275328,6,1,81.0,43.5,94.8,74.4,74.4,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,다원시스,068240,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3785,210.22,1444.5,21022362779.0,60.4,71.3,29.63,50.49,0,0,0,16.28,56.08,35.66,30.74,19.21,-46.69,10.68,,,0.174,0.071,1,15.15,12.0,-16.27,0,0,1.6,0.93,3065.0,2910.0,3530.0,3610.0,v1_sl_first_gap_at_open,5.06,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.2%)/급등(16.3%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,2413.5,3201,18.23,0.9543,2.46,2.59,False,O,▼,2709,▲,O,X,0,0,0,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,12.127857142857142,6.221428571428571,8.0,94.3,72.0,72.0,6,1,39.0,86.0,94.3,61.8,61.8,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",21550,194.69,1991.2,19469177285.0,93.3,97.0,32.95,39.74,0,3,0,7.48,36.31,40.48,34.77,37.7,58.11,14.23,,,0.09,0.09,1,31.77,11.8,-0.67,0,0,5.29,0.64,17020.0,16160.0,19600.0,20050.0,v1_sl_first_gap_at_open,5.05,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,17268.0,20324,6.03,0.6135,7.93,2.11,False,O,▲,17310,▲,O,X,0,0,0,0.0,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서비스 기타,14.963333333333335,25.119999999999997,2.0,95.5,23.5,23.5,4,1,39.6,23.5,95.5,46.8,46.8,[RSI극단: RSI 85+ 극단과열]
KOSPI,와이투솔루션,011690,반도체 제조업,9140,175.19,3352.0,17519406370.0,72.8,81.1,43.86,81.42,0,0,0,4.34,61.77,47.42,118.14,227.6,196.27,97.6,,,0.0,0.0,1,115.73,12.0,35.1,1,0,3.23,0.9,6670.0,6330.0,7690.0,7860.0,v1_sl_first_gap_at_open,5.1,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,6063.0,7764,17.71,0.5671,0.53,2.74,False,O,▲,7954,▲,O,X,0,0,0,0.0,반도체 제조업,반도체,13.13391304347826,19.21391304347826,3.0,81.2,54.88525928439265,54.88525928439265,6,1,83.5,85.0,81.2,83.4,83.4,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,시지메드텍,056090,의료용 기기 제조업,2790,169.79,2880.9,16978967166.0,77.5,89.3,50.33,90.09,0,0,0,-4.78,47.62,37.44,106.67,176.79,176.24,86.61,,,0.026,0.026,1,100.74,12.0,24.96,1,0,2.59,0.88,1949.0,1851.0,2245.0,2295.0,v1_sl_first_gap_at_open,5.03,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,1981.1,2514,10.95,0.8683,1.19,2.85,False,O,▲,2347,▲,O,X,0,0,0,0.0,의료용 기기 제조업,기타,11.653740458015266,11.101374045801526,7.0,88.1,86.5951068686086,86.5951068686086,6,1,83.2,91.2,88.1,86.2,86.2,[연속급등: 5일 수익률 40%+ 과열]
