시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,괴리_%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,근거,RS_slope20,RS_high50,VCP_ok,Pivot_near,Vol_breakout,UDVR_50,UDVR_ok,OBV_high,Weekly_pos,Regime_good,EBS_PLUS,HitProb_%(heuristic),추천매수가,추천매도가1,추천매도가2,손절가
KOSDAQ,로보스타,090360,86700,1670.84,8453.2,83.5,36.31,1810.4464,-114.36764,-0.38,28.25,23.68,2,"상승구조, MACD>0",0.5405,False,False,True,False,5.7,True,True,True,True,53.1,37.8,68020,76850,83920,61700
KOSPI,현대오토에버,307950,161400,245.72,44262.3,67.8,4.33,1079.9695,136.35113,2.48,3.46,3.13,4,"MACD↑, 거래량↑, MACD>0, 5d<10%",-0.1246,False,False,True,True,1.37,True,False,True,True,52.4,37.2,157090,161880,165710,150060
KOSPI,퍼스텍,010820,4775,116.81,2328.9,49.9,2.31,5.3316,-1.83879,1.49,-3.44,5.88,6,"RSI 45~65, MA20근접, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0947,False,False,False,True,2.07,True,True,True,True,51.6,36.4,4780,5040,5250,4530
KOSDAQ,마녀공장,439090,16700,61.5,2735.2,60.8,3.38,84.5628,36.68349,4.21,3.86,4.64,6,"RSI 45~65, MACD↑, MA20근접, 거래량↑, MACD>0, 5d<10%",-0.1527,False,False,True,True,1.26,False,True,False,True,51.6,36.4,16330,16680,16960,15800
KOSPI,엘앤에프,066970,124700,2820.6,45286.3,75.2,22.47,3781.0083,-1925.08589,1.58,9.77,26.73,4,"거래량↑, 상승구조, MACD>0, 5d<10%",0.3827,False,False,False,True,1.89,True,False,True,True,49.8,34.8,107560,119040,128220,98770
KOSPI,삼성물산,028260,227000,1223.87,385846.8,63.0,10.86,1426.2301,381.52883,0.67,10.19,4.61,4,"RSI 45~65, MACD↑, 상승구조, MACD>0",0.0131,False,False,True,False,1.52,True,False,True,True,49.8,34.8,210120,220840,229420,198610
KOSDAQ,씨피시스템,413630,4055,1134.49,1477.5,70.8,23.47,98.8556,-25.17269,1.31,5.87,45.08,4,"거래량↑, 상승구조, MACD>0, 5d<10%",0.1056,False,False,False,True,3.81,True,False,True,True,49.8,34.8,3500,3940,4290,3190
KOSDAQ,서진시스템,178320,28850,581.66,16227.5,75.5,15.3,449.2921,-115.80127,2.48,9.7,13.36,4,"거래량↑, 상승구조, MACD>0, 5d<10%",0.1087,False,False,False,True,1.94,True,False,True,True,49.8,34.8,25850,27510,28840,24270
KOSPI,대덕전자,353200,37150,399.39,18358.4,55.2,13.43,309.0281,-23.89005,-0.82,5.99,11.56,4,"RSI 45~65, 상승구조, MACD>0, 5d<10%",0.0843,False,False,True,False,2.24,True,False,True,True,49.8,34.8,33930,36290,38170,31770
KOSDAQ,유진테크,084370,97800,208.27,22411.9,78.1,17.98,583.3866,20.0529,-0.47,7.47,22.86,4,"MACD↑, 상승구조, MACD>0, 5d<10%",0.2056,False,False,True,False,2.51,True,False,True,True,49.8,34.8,85670,91220,95660,80410
KOSDAQ,올릭스,226950,102600,976.56,20637.8,55.0,8.04,62.6605,231.52944,0.19,5.12,14.89,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",-0.071,False,False,True,False,2.39,True,True,True,True,49.5,34.6,99120,107420,114060,92120
KOSDAQ,켐트로닉스,089010,34900,531.02,5543.6,54.3,6.6,36.6566,63.46912,0.0,5.92,8.55,5,"RSI 45~65, MACD↑, 상승구조, MACD>0, 5d<10%",-0.0185,False,False,True,False,2.01,True,True,True,True,49.5,34.6,34000,36520,38540,31760
KOSDAQ,삐아,451250,11230,110.47,1148.4,56.5,2.97,25.0088,22.39861,2.77,2.56,8.19,7,"RSI 45~65, MACD↑, MA20근접, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.1924,False,False,False,True,5.93,True,True,False,True,48.7,33.8,11120,11550,11890,10580
KOSDAQ,제룡전기,033100,38650,110.18,6208.1,72.1,8.07,444.7945,-69.44556,0.99,4.18,4.6,2,"MACD>0, 5d<10%",-0.0172,False,False,True,True,1.39,True,False,True,True,48.0,33.2,36540,38110,39360,34690
KOSPI,LG화학,051910,405000,1793.93,285899.0,89.1,20.6,9041.114,-1978.8942,-0.19,3.98,29.81,3,"상승구조, MACD>0, 5d<10%",0.176,False,False,True,False,2.02,True,False,True,True,47.6,32.8,346310,367270,384040,325750
