종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,TOTAL_SCORE,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,451000,240.44,57777.6,451000,420000,513000,574000,84.7,76.4,85.1,0.0,,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,-1.2,53.66,-8.69,-5.02,18.22,10,0.86,0.82,1.0,1.0,0.29,0.17,0.67,70.3,74.2,2.93,443523,1.69,,276.9207,0.1071,0.58,0.11,404850,1,8.18,1,1,1,1,False,2.27,1.23,19.63,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,5,225.5,443379,▲,O,X,1.2,9.588947368421053,7.0,2.0,0.0,1,🌪️ 10일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,56.3,76.2,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),4,11,20251229,20251229,24.65,11.66,19.63,-5.02,452000,451000,0.22172949002217113,20251230,20251229
353200,대덕전자,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,47150,458.82,23300.1,47150,43800,53800,60400,84.2,84.3,89.0,0.0,,🔺 Watch (상승 준비),⑤ 하락 / 약세,-4.17,164.74,-11.66,52.61,129.3,4,0.85,0.84,1.0,1.0,0.48,0.42,0.75,44.4,46.1,-0.78,47272,-0.26,,-374.2524,0.0669,0.79,-0.06,41395,1,10.37,0,1,1,0,False,1.4,-0.53,77.26,O,▲,8,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, HMA돌파, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,53,249.9,46566,▲,O,X,6.928,16.793999999999997,5.0,1.985074626865672,0.0,1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),87.8,85.3,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),5,12,20251229,20251229,24.65,11.66,77.26,52.61,47100,47150,-0.10604453870625141,20251230,20251229
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,76500,2739.25,490029.3,76500,71100,87300,98000,82.1,87.1,83.5,0.0,,↩️ PULL (눌림),③ 박스 / 중립,0.13,23.59,-7.36,-3.41,-11.85,8,0.86,0.84,1.0,1.0,0.2,1.0,0.75,49.2,42.6,-0.56,76436,0.08,,-146.5575,-0.0764,0.77,-2.61,83970,-1,9.03,1,1,1,0,False,-1.16,-4.02,21.24,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA돌파, OBV매집, RSI적정, 20선근접, 장기추세(120↑), VWAP상회",1.8,32,244.8,75944,▼,O,O,11.5825,20.025,2.0,2.0,0.0,-1,🌪️ 8일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),92.4,85.2,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),3,13,20251229,20251229,24.65,11.66,21.24,-3.41,75300,76500,-1.5686274509803977,20251230,20251229
009520,포스코엠텍,KOSDAQ,1차 철강 제조업,1차 철강 제조업,철강·금속,16460,74.58,6854.4,16460,15300,18770,21100,81.7,79.8,77.7,0.0,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,6.4,36.71,4.22,6.67,19.16,2,0.86,0.83,1.0,1.0,0.42,0.0,0.82,49.1,67.7,2.32,16265,1.2,장악형,4.5745,0.1053,0.86,0.92,15001,1,9.38,1,1,1,1,False,6.88,0.8,18.33,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회, 패턴(장악형)",1.8,151,248.5,15907,▲,O,X,10.5525,21.078333333333333,1.0,1.991379310344828,0.0,1,🌪️ 에너지 응축 시작 (2일차). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,22.9,64.1,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),5,14,20251229,20251229,24.65,11.66,18.33,6.67,15790,16460,-4.070473876063185,20251230,20251229
054540,삼영엠텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업",기타,14150,75.36,1839.5,14150,13150,16310,18470,81.3,83.7,83.9,0.0,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,3.13,142.29,0.95,13.45,124.74,1,0.93,0.91,1.0,1.0,0.62,0.0,0.79,47.5,76.9,-1.46,15616,-9.39,,80.9506,0.2683,0.26,1.41,12743,1,21.35,0,1,1,0,False,5.99,-4.78,25.11,O,▲,8,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 장기추세(120↑), 자금유입, MACD>Sig",1.8,176,249.0,14102,▲,O,X,5.166116504854369,16.431553398058252,6.0,2.16,0.0,1,🌪️ 에너지 응축 시작 (1일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),70.7,78.1,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),5,15,20251229,20251229,24.65,11.66,25.11,13.45,13750,14150,-2.8268551236749095,20251230,20251229
376900,로킷헬스케어,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,기타,67600,893.58,10587.2,67600,62800,82200,96800,81.0,96.1,94.9,0.0,,🔺 Watch (상승 준비),⑤ 하락 / 약세,-14.65,253.56,-16.83,202.76,236.01,0,1.0,1.0,1.0,1.0,0.75,0.92,0.56,47.0,53.2,-6.65,64013,5.6,,-2358.1064,0.2175,1.44,-0.5,81110,-1,38.95,0,0,0,0,False,0.9,-11.4,214.42,O,▲,8,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",2.0,36,243.4,63166,▼,O,X,5.166116504854369,16.431553398058252,6.0,3.0416666666666665,0.0,-1,📉 매도세 우위. 🚀 단기 모멘텀 가속. 📉 과매도 기술적 반등 기대. (강력 매수),90.8,83.9,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),5,16,20251229,20251229,24.65,11.66,214.42,202.76,65500,67600,-3.106508875739644,20251230,20251229
298380,에이비엘바이오,KOSDAQ,기초 의약물질 제조업,기초 의약물질 제조업,기타,199400,1655.37,109919.6,198500,184600,226500,254500,80.7,92.2,87.4,0.0,,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,6.06,182.04,3.88,104.61,164.49,0,0.79,0.81,1.0,0.93,0.79,1.0,0.69,58.2,68.1,3.44,192005,3.85,,-2157.8033,0.2328,0.81,0.07,172740,1,13.31,0,0,0,1,False,4.73,4.95,116.27,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",2.0,12,238.2,188708,▲,O,X,5.166116504854369,16.431553398058252,6.0,1.8310810810810807,0.4534005037783375,1,📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (강력 매수),47.6,70.8,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),1,17,20251229,20251229,24.65,11.66,116.27,104.61,200000,198500,0.7556675062972307,20251230,20251229
014280,금강공업,KOSPI,1차 철강 제조업,1차 철강 제조업,철강·금속,6420,210.34,1882.9,6420,5970,7460,8490,80.5,77.4,85.9,0.0,,↩️ PULL (눌림),② 상승 후 조정,-2.13,35.87,-9.62,9.24,0.43,7,0.99,0.96,1.0,1.0,0.12,0.13,0.53,44.1,64.0,-4.7,7006,-8.37,,-60.2794,-0.1974,1.94,-0.65,5897,1,18.17,0,1,1,0,False,-9.19,-11.57,33.89,O,▲,8,★,"주봉20선↑, 주봉추세우상향, OBV매집, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입",1.8,389,249.7,6933,▼,X,O,10.5525,21.078333333333333,1.0,2.311111111111111,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. ,92.0,83.9,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),2,18,20251229,20251229,24.65,11.66,33.89,9.24,6060,6420,-5.607476635514019,20251230,20251229
071050,한국금융지주,KOSPI,기타 금융업,기타 금융업,금융,167900,492.14,93563.9,166400,154700,189800,213500,80.2,73.4,78.6,0.0,,🔻 REV (역추세 반등),④ 바닥 반등 시도,4.68,21.75,-2.81,-6.41,-13.69,10,0.71,0.78,1.0,0.85,0.34,0.46,0.69,54.0,57.4,3.9,161741,3.81,장악형,428.9221,0.0625,1.23,0.24,175040,-1,7.67,1,1,1,1,False,3.2,0.3,18.24,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, HMA돌파, RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig, VWAP상회, 패턴(장악형)",1.8,15,249.6,160461,▲,O,X,0.6772727272727276,0.2333333333333332,11.0,1.6590909090909092,0.9014423076923076,-1,🌪️ 10일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ,65.5,75.8,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),4,19,20251229,20251229,24.65,11.66,18.24,-6.41,161700,166400,-2.824519230769229,20251230,20251229
089010,켐트로닉스,KOSDAQ,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,30600,95.68,4999.8,30600,28450,34900,39200,79.8,75.3,85.7,0.0,,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,-0.65,32.47,-2.83,-9.49,14.92,1,0.86,0.84,1.0,1.0,0.31,0.0,0.75,47.7,58.9,-0.09,29943,2.19,,-8.5898,0.0004,0.62,0.19,33345,-1,12.0,0,1,1,0,False,4.79,-1.92,2.17,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA돌파, OBV매집, RSI적정, MACD상승, 20선근접, 장기추세(120↑), VWAP상회",1.8,81,247.9,29328,▼,O,O,3.102413793103448,4.469655172413793,9.0,2.0,0.0,-1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. ✅ 20일선 눌림목 구간.,84.2,81.1,59.6,47.7,71.3,🌤 중립,1.철강·금속(+16.9%) / 2.조선·기계·설비(+16.6%) / 3.자동차·모빌리티(+13.9%) / 4.반도체(+12.9%) / 5.IT/전기전자(+12.8%),4,20,20251229,20251229,24.65,11.66,2.17,-9.49,30600,30600,0.0,20251230,20251229
